,report_no.,report_date,sent_to_manufacturer/importer/private_labeler,publication_date,category_of_submitter,product_description,product_category,product_sub_category,product_type,product_code,manufacturer/importer/private_labeler_name,brand,model_name_or_number,serial_number,upc,date_manufactured,manufacturer_date_code,retailer,retailer_state,purchase_date,purchase_date_is_estimate,incident_description,city,state,zip,location,(primary)_victim_severity,(primary)_victim's_sex,my_relation_to_the_(primary)_victim,(primary)_victim's_age_(years),submitter_has_product,product_was_damaged_before_incident,damage_description,damage_repaired,product_was_modified_before_incident,have_you_contacted_the_manufacturer,if_not_do_you_plan_to,answer_explanation,company_comments,associated_report_numbers,asin_in_report
410,20190804-14158-2147379453,8/4/2019 ,8/12/2019 ,9/25/2019 ,Consumer,"Plastic white and blue airplane, 5 1/2” wingspan and 5 1/2” long, with three wheels - a nose wheel and two wheels on a small metal axle.",Toys & Children,Toys,"Blocks, Stacking Toys or Pull Toys (1326)",1326,Kenneth Toys Import & Export Ltd,Kenneth Toys,8895,,,7/2/2018 ,,,,7/16/2019 ,Yes,This toy airplane was a gift to a nine month old baby from a children’s health care office. The plane is a plastic push toy of a passenger airplane with three wheels - a nose wheel and rear axle with two wheels. The plane has a wingspan of 5 1/2 inches and is 5 1/2 inches long.The baby was playing with the toy when an adult noticed the plastic nose wheel in the baby’s mouth. The baby had put the toy in his mouth and was able to remove the nose wheel since it was attached in a recessed notch and comes out fairly easily. The wheel was removed from the baby’s mouth without incident but obviously posed a chocking hazard.The toy is marked “Made in China No: 8895”. A sticker on the underside of the wing reads:Kenneth ToysProduction Location: Chenghai ChinaProduction Date: July 2018PO Number: 133264,Pasadena,California,91105,Home/Apartment/Condominium,"Incident, No Injury",Male,Other Relative,-1.0,Yes,No,,,No,No,No,I kept the product.,,,
411,20240221-C7A66-2147340841,2/21/2024 ,2/26/2024 ,3/11/2024 ,Consumer,Toy is labeled WOWTOYZ and appears to exactly match the B2 Spirit plane toy listed as Item # IN-TB2 on this website https://www.wowtoyz.com/pages/aviation_metal_pullbacks.html However that item number does not appear on the toy instead it is stamped as listed in question 4.Prior to my investigative disassembly all screws and buttons were in place (however photos are after disassembly to confirm the source of loose battery),Toys & Children,Toys,Toy Vehicles (Excluding Riding Toys) (5021),5021,WOW TOYZ,,M18513 05152023,,,,,National Air and Space Museum,,2/18/2024 ,No,Coin battery fell out of toy pullback B2 Spirit plane under normal use. Coin battery was discovered by adult where toy had recently been played with. The toy looked undamaged and has no coin battery door but the electronic function no longer worked. The toy is made by WOWTOYZ sold at the Smithsonian Air and Space museum. It is marked with ID WOWTOYZ M18513 05152023 to confirm the toy was the source of the loose coin battery I disassembled it using a screwdriver to in fact find one coin battery missing from the circuit board and the other still in place. The circuit board appears to use a small spring to hold batteries in place and the battery must have come loose and exited through the gap by the wheels. Battery was found before any child found it but I believe the design of this toy presents a hazard to children.,Austin,Texas,78759,Home/Apartment/Condominium,"Incident, No Injury",,My Child,4.0,Yes,No,,,,No,,,,,
412,20130323-74C7E-2147457625,3/23/2013 ,4/1/2013 ,4/22/2013 ,Consumer,Train & carriage with Disney characters,Toys & Children,Toys,Toy Vehicles (Excluding Riding Toys) (5021),5021,FISHER-PRICE BRANDS,Fisher Price,,,,,,,,,No,My 7 month old son was playing with this toy & was fascinated by turning the wheels however he started screaming & I realised his finger had become trapped between the wheel & the body if the train. His finger was dented & bruised. I have since closely watched him play with the toy & realised how easily this can be done. Unfortunately the toy was a gift so I am unable to return it & could find no contact us link on the fisher price web site however the toy will be going in the bin as I would not want to inflict pain on any other child through taking the toy to a charity shop.,,,,Home/Apartment/Condominium,Injury - First Aid Received by Non-Medical Professional,Male,My Child,-1.0,Yes,No,,,No,No,Yes,Trying to find their contact details online unable to so far,,,
413,20180314-3B258-2147389295,3/14/2018 ,6/15/2018 ,7/6/2018 ,Consumer,Plastic bulldozer with moving parts,Toys & Children,Toys,"Blocks, Stacking Toys or Pull Toys (1326)",1326,"VTech Electronics NA, LLC",vtech,,,,,,Wal-Mart,,3/12/2018 ,No,"We purchased a VTech Pop-a-balls “Push & Pop Bulldozer” from Wal-Mart March 12, 2018.  The toy has a handle that must be installed with 4 small screws.  Our 14 month old grandson played with the toy for about 10 minutes when we discovered one of the screws on the floor.  We examined the toy and found the 3 remaining screws were also loose. We removed all of the screws, reread the directions, then reinserted the screws. We tested the toy and the handle became looser each time it was raised and lowered until the screws were loose enough to fall out.  We are returning the toy to the store. ",Denver,Colorado,80239,Home/Apartment/Condominium,"Incident, No Injury",,Unspecified,,No,No,,,No,Yes,,Notified manufacturer," This toy requires adult assembly and the screws are for an adult to fasten to the toy. The screw holes are a little deep. The customer might not have used an appropriate screw driver (too short) and failed to reach the screw head to fasten it. This problem has been reported and the factory has modified the plastic mold to have the screw more easily fasten with a shorter screw driver tool bit, and it has been implemented in production from 5 Dec 2017.",,
414,20200904-DF62C-2012523,9/4/2020 ,4/26/2022 ,5/10/2022 ,Consumer,Toy in small plastic bag,Toys & Children,Toys,"Dolls, Plush Toys, and Action Figures (1394)",1394,Brand Loyalty Special Promotions BV,Brand Loyalty,Best Buddies Micro Popz,Barcode: 8718973050718,,,,Albertson’s,California,8/28/2020 ,No,"The consumer indicates that the Best Buddies Micro Popz toy was given to her as a promotional item at the grocery store she was shopping at. When the consumer arrived home, she opened the bag the toy came in and placed it in her hand to eat but she quickly realized that it was not candy but rather a small toy. The consumer is concerned because the plastic bag it came in looks like a candy bag and she believes small children may think the same and swallow the item.The consumer plans on keeping the unit for the next thirty days in case an investigation ensues.  The thing that is not included in the report is that the toy inside the bag looks just like a toy gummy that you can eat.",Vista,California,92084,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,,Yes,No,,,No,No,No,,,,
415,20120321-73361-2147469079,3/21/2012 ,3/28/2012 ,4/18/2012 ,Consumer,"small music playing car that has keys. Red Car with 3 dangling pieces, plays music and rattles. ",Toys & Children,Toys,"Pretend Electronics, Tools, Housewares & Appliances (5020)",5020,Sears Holdings Management Corporation,,,,,,016614JUN11,kmart,New York,10/1/2011 ,Yes,Baby toy has small pieces that popped right off of the toy. Its about the size of a large grape. ,e. stroudsburg,Pennsylvania,18301,Home/Apartment/Condominium,"Incident, No Injury",,Unspecified,,Yes,No,,,,Yes,,I am keeping the toy in case I have to mail it anywhere. I contacted Kmart and they gave me refund information that was not helpful at all. ," Sears Holdings takes product safety issues very seriously.  We investigate each CPSC database incident report.  We encourage our customers to provide additional information about incidents to our Customer Care Network, by calling 800-549-4505.",,
416,20190420-573D6-2147381455,4/20/2019 ,4/29/2019 ,5/13/2019 ,Consumer,SPLAT BALL made by JA-RU #5303  (1pc 5x7)Brown toy,Toys & Children,Toys,Squeeze or Squeaker Toys (1350),1350,JA-RU INC,Splat Ball,5303,1580518,,3/1/2017 ,,Big Lots,,4/20/2019 ,No,"My son was squeezing the toy and it burst open, splashing the liquid inside the toy into his open mouth and eyes.",HOCKLEY,Texas,77447,Home/Apartment/Condominium,Injury - First Aid Received by Non-Medical Professional,Male,My Child,7.0,Yes,No,,,No,No,,I still have the burst open toy," Our product has all the required safety warnings, has been tested and found to comply with all applicable requirements of ASTM F963. The directions and precautions on the package are clear, however, we will investigate this item for any potential improvements.",,
417,20130714-4EC83-2147454189,7/14/2013 ,7/22/2013 ,8/5/2013 ,Consumer,Tethered remote control puppy carItem # 3955T - 3958TUPC 6 7255209557 7,Toys & Children,Toys,Toy Vehicles (Excluding Riding Toys) (5021),5021,Happy Kid Toy Group Limited,little learners,animal rescue unit,,672552095577,,,ross,Washington,7/13/2013 ,No,"The toy is a Childs remote control car, tethered remote.  My son had the remote and toy in his arms.  It bond his hair in the wheels and ripped out a serious chunk of his hair and bruised his forehead. Toy is made by happy kidtoy called animal rescue unit. ",Spokane,Washington,99208,Home/Apartment/Condominium,Injury - No First Aid or Medical Attention Received,Male,My Child,2.0,Yes,,,,,,,"i have not returned toy or removed hair, will hold on to it for evidence of injury",,,
418,20221028-133B8-2147353081,10/28/2022 ,6/30/2023 ,7/17/2023 ,Consumer,Grogu stuffed toy that came with matching theme blanket.,Toys & Children,Toys,"Dolls, Plush Toys, and Action Figures (1394)",1394,"MATTEL, INC.",Star Wars ,QC-028143,PA-18736(CN),,,,,,,No,"A child brought his Grogu toy to my in-home preschool. I observed the eye pop off the toy. Upon examining the toy, I noticed that the other I was missing. The child stated that it was at his home. The eyepiece that fell off poses a serious choking hazard to younger  children.",Buda,Texas,78610,Home/Apartment/Condominium,"Incident, No Injury",Male,Unspecified,,,,,,,,,,,,
419,20131121-9FE0A-2147449706,11/21/2013 ,12/13/2013 ,12/30/2013 ,Consumer,The World of Eric Carle Preferred Developmental Butterfly Crib Toy,Toys & Children,Toys,"Toys, Not Elsewhere Classified (1381)",1381,Kids Preferred ,The World of Eric Carle,,,ISBN/SKU 81787966192,,,Kohl's,Ohio,5/1/2013 ,Yes,The butterfly crib toy was hanging from a toy bar on an infant rocker/toddler seat.  My infant was playing with the toy.  I checked on her and saw that she was choking.  Her eyes were wide open and her face was turning dark red.  She had managed to lodge the body of the butterfly crib toy down her throat.  I immediately dislodged it and observed that nearly three inches of the butterfly's body were wet (had been in her throat).  ,Lansing,Illinois,60438,Home/Apartment/Condominium,"Incident, No Injury",Female,My Child,-1.0,Yes,No,,,No,No,,,,,
420,20231026-8B3C9-2147344375,10/26/2023 ,10/31/2023 ,11/22/2023 ,Consumer,"Schylling Tin Top purchased at Menards but appears be available at [REDACTED] and other large stores. This item is approx 0.25 pounds and 5.5 x 5 x 5 inches.I do not have the original box, just toy.",Toys & Children,Toys,"Toys, Not Elsewhere Classified (1381)",1381,Schylling,Schylling Little Tin Top,,,,,,Menards ,,6/1/2023 ,Yes,"My son is 14 months old and has an elevated lead level of 4.2. I ordered a lead screening kit to try on multiple surfaces of his toys and discovered that a part on his spin toy was reading off the charts in regards to lead contents.  My son plays with this toy and has been known to place the inner metal piece and top of the handle in his mouth.The toy was purchased at Menards and is manufactured by Schylling. The inner, spiral metal piece, that has to be raised, is the location of the lead.",Dyersburg ,Tennessee,38024,Home/Apartment/Condominium,Injury - Seen by Medical Professional,Male,My Child,1.0,Yes,No,,,,No,,,"Schylling: Schylling takes any product safety concern very seriously. Schylling follows CPSC testing guidelines. We have a strict testing protocol to ensure that our products meet or exceed CPSC requirements. This item has been tested and passes all CPSC requirements.Due to the seriousness of lead in toys, we have sent an identical item with the same batch code (22140KH) to a 3rd party testing laboratory for testing. The test result shows no sign of lead. Test reports can be found under the “Related Files” tab.We encourage our customers to provide additional information about incidents directly to our Customer Service Department, by calling 800-541-2929 or emailing us at customerservice@schylling.com.",,
421,20151215-E8DBD-2147425832,12/15/2015 ,1/7/2016 ,1/22/2016 ,Consumer,Holiday Grow able. Put toy into water and watch it grow. ,Toys & Children,Toys,Water Toys (1365),1365,MB Wolverine Holding LLC,Grin,Holiday Grow-Able,,FF011771 3,,,Kmart,North Carolina,12/1/2015 ,No,"This is the second year that someone has included this product in my child's holiday stocking. Company is call Grin and the item is Holiday Grow-ableS.  The warning on the package states that the item is not for consumption but you are supposed to submerge the toy in water, which lends it to be a bathtub toy for children 3 and up.  Children who are still at risk of putting in their mouth (there is a choking hazard) or drinking the water that this toxic toy has been soaking in.This product smells of highly toxic chemical, like a formaldehyde of some kind and permeates the room. I was so concerned I took it to the refuse center to ask how to dispose of it (as if it were toxic waste).  I have decided to report the product to Safer Products. GOV and return the items to the distributor for disposal instead.I would encourage the discontinuance of this product.[REDACTED]Grin Holiday Grow-ableMB Wolverine HoldingLLC Bedford Park I  60638Made in ChinaSDE YIMU B-07-30UPC Code FF011713",,,,Home/Apartment/Condominium,"Incident, No Injury",Male,My Child,12.0,Yes,,,,,,,I will keep the product but would like to return it for disposal,,,
422,20240407-6DC39-2147339900,4/7/2024 ,4/12/2024 ,4/26/2024 ,Consumer,Squishy toy for kids,Toys & Children,Toys,Squeeze or Squeaker Toys (1350),1350,JA-RU INC,Squish attack fruitsies,101 782400,,075656041974,,,Cracker Barrel,,4/7/2024 ,No,We purchased 2 toys at Cracker Barrel. These were presented to our grandchildren. They opened the packaging and there was a very strong odor that was volatile. Like toluene or paint thinner. Very strong and the toys were sticky. We suspect this to be carcinogenic. We took the toys away and made them wash well.,Mosheim,Tennessee,37818,Home/Apartment/Condominium,"Incident, No Injury",Male,Other Relative,6.0,Yes,No,,,,No,,,"JA-RU INC: At Ja-Ru , the safety of our products has always been our top priority. All toys are rigorously tests to ensure compliance with current ASTM and CPSIA regulations. This toy meets all USA requirements for Children's toys and is safe and non-toxic. The smell you are smelling is probably the TPR material used to make the toy that is safe and should not have a strong smell. ",,
423,20120315-E08B5-2147469240,3/15/2012 ,3/23/2012 ,4/13/2012 ,Consumer,"Parents brand My First RC Car, my model is orange and yellow but it came in other colors.When it broke, the plastic ball on top came off as did the plastic tube that covered the antenna. I'm concerned these are ",Toys & Children,Toys,Toy Vehicles (Excluding Riding Toys) (5021),5021,BATTAT INCORPORATED,Parents (Battat),My First RC Car,,,,,Target,,3/1/2009 ,Yes,Plastic ball at top of remote control broke off into two pieces. This product is marketed for 12 months+ so I am concerned this is a choking hazard.,Phoenix,Arizona,85048,Home/Apartment/Condominium,"Incident, No Injury",,Unspecified,,Yes,No,,,No,Yes,,"trying to call phone number on toy, there is no answer",,,
424,20120418-49B6A-2147468331,4/18/2012 ,4/25/2012 ,5/9/2012 ,Consumer,Just Like Home 2-in-1 Vacuum Set - Toys R Us brand,Toys & Children,Toys,"Pretend Electronics, Tools, Housewares & Appliances (5020)",5020,TOY'S R US,Just Like Home 2-in-1 Vacuum Set - Toys R Us,539425,,840144302505,,,Toys R Us,Ohio,12/15/2011 ,Yes,"Just Like Home 2-in-1 Vacuum Set - My 2 year old daughter was playing with this toy that she received as a gift. Where the dust-buster detaches there is a small hole in the vacuum. My daughter got her finger stuck in this hole. We tried butter and oil and could not free her finger, probably due to swelling. We ended up calling our local fire department for help. They had to break the toy apart to free her finger. Her finger was stuck for 45 min. She was very scared and crying and her finger was all bruised and swollen. There is no purpose for this hole in the vacuum and it does not cause it to work any differently. The design is very poor and the hole is the perfect size to fit little fingers and have them get stuck.",Lyndhurst,Ohio,44124,Home/Apartment/Condominium,Injury - Seen by Medical Professional,Female,My Child,2.0,No,No,,,No,Yes,,Wrote a review on Toys R Us website, Production samples of this item passed testing to all applicable US regulatory and voluntary standards.,,
425,20111102-57A14-2147473693,11/2/2011 ,11/10/2011 ,11/28/2011 ,Consumer,Toulouse-LapTrec magnetic sketchboards: the metal tip fell out of the pen while my child was drawing with it.,Toys & Children,Toys,"Toys, Not Elsewhere Classified (1381)",1381,BATTAT INCORPORATED,Toulouse-LapTrec magnetic sketchboards,Toulouse-LapTrec magnetic sketchboards,H58000-01,,,052010,,,8/1/2010 ,Yes,The metal tip fell out of the pen on the magnetic drawing toy.,Centreville,Virginia,20121,Home/Apartment/Condominium,"Incident, No Injury",,Unspecified,,Yes,No,,,No,Yes,,I contacted the company and they will send a replacement toy.,,,
426,20130109-87318-2147460011,1/9/2013 ,1/31/2013 ,2/22/2013 ,Consumer,Jingles the Talking Dog,Toys & Children,Toys,"Dolls, Plush Toys, and Action Figures (1394)",1394,"Hallmark Cards, Incorporated",Jingle the Husky Pup Interactive Storybook and Plush,I dont know,I dont know,I dont know,,I dont know,Gift,,,No,"My daughter talking toy dog Jingles the talking dog which she sleeps with started to melt.  When we put her to bed, she said jingles was hot.  my wife held the dog and felt it really hot in its stomach (where the battery pack is located).  She handed it to me, and I removed the battery pack which was piping hot and starting to melt.   I moved it outside and got a pair of pliers to remove the battery pack from the stuffed toy.  By the time I came back with the pliers, the plastic of the battery pack was melting around the batteries.  I clipped the wire, removed the melting battery pack and used the pliers to pop out the batteries (3-AAs).  Everything finally started to cool down.  I still have the toy & battery pack as well as pictures.",University City,Missouri,63130,Home/Apartment/Condominium,"Incident, No Injury",Female,My Child,,Yes,Yes,,,No,,,Toy didn't always bark when talked to.,,,
427,20160622-EDFAE-2147417597,6/22/2016 ,6/30/2016 ,7/15/2016 ,Consumer,"Kidoozie Little Doctor Kit - Includes Stethoscope, Blood Pressure Gauge, Reflex Hammer, Thermometer, Squeaking Syringe, Auriscope, Laryngoscope, Pretend Bandage, and Bag - Ages 12 Months And Up ",Toys & Children,Toys,"Pretend Electronics, Tools, Housewares & Appliances (5020)",5020,"INTERNATIONAL PLAYTHINGS, LLC",Kidoozie,Kidoozie Little Doctor Kit,G02021,,,,,,2/10/2015 ,Yes,"Our child was using the Kidoozie Little Doctor Kit and was injured. She is three years old was putting on the stethoscope and the piece pinched her neck very hard and left marks. It pinched so hard that she almost bled. We feel that this toy is dangerous and should be taken out the stores. If was a gift to us, but I saw that it can be purchased at [REDACTED].",,California,90069,Home/Apartment/Condominium,Injury - First Aid Received by Non-Medical Professional,Female,My Friend / Neighbor / Co-worker,3.0,Yes,,,,,Yes,,Manufacturer wants toy shipped back for inspection.," International Playthings has sold over 200,000 pieces of the Little Doctor Kit since 2006 without incident. We have updated PASS safety testing reports from an independent lab.",,
428,20140327-7C26C-2147445989,3/27/2014 ,4/8/2014 ,4/29/2014 ,Consumer,Plush Valentine Dog with plastic pellets,Toys & Children,Toys,"Dolls, Plush Toys, and Action Figures (1394)",1394,TY INC.,TY inc. Darlin,,,,,,CVS Drug Store,,2/21/2014 ,No,"On Clearance, I purchased a Plush TY Valentine Dog from CVS Store for my son. Within two weeks of purchase, a seem has come undone and the plastic pellets are falling out. I'm concerned that TY has not ensured the safety of these toys as my son could have choked on these pellets. TY should take extra caution to ensure the stitching is strong enough that a child cannot (within two weeks) open a seem. Labeling of hang tag (which I removed before giving to him) gave n o warning that this toy had small parts.",Aledo,Texas,76008,Mobile/Manufactured Home,"Incident, No Injury",Male,My Child,2.0,Yes,No,,,No,No,,I have the toy in a plastic bag with pellets.," We are in receipt of your March 27.2014 correspondence containing an incuident report relating to a single Ty Inc. product. Please accept this correspondence as Ty Inc.'s response and general comment.The product in question is sold under Ty's BEANIE BABIES line of plush toys and is sold under the specific name DARLIN. There are four facts of which you should be aware:1. All of Ty's products are tested by an independent testing agency for compliance with U.S. safety standards, and DARLIN is no exception. This product was specifically tested to ensure that it complies with all applicable safety regulations and standards, including safety standards relating to small parts. The test results establish full compliance with CPSC regulations and safety standards.2. The hang tag attached to this product specifically and conspicuously states that the product is designed for children aged 3 and older. It is not designed for a two year old like the complainant's child.3. The hang tag also contains a warning that the hang tag be retained for reference, and it appears the purchase did not heed this warning.4. Given the French language labeling and the fact the product in question was purchased in Texas on clearance, there is the distinct possibility that this piece is either counterfeit or a secondary market product that may have been damaged well after it was originally shipped by Ty.Ty employs strict quality control measure to ensure that its products are safe for children. If requested, Ty will gladly provide the CPSC with all test reports for its DARLIN product.",,
429,20190511-AEC5C-2147381043,5/11/2019 ,5/24/2019 ,6/10/2019 ,Consumer,"Baby Gund Little Blessing Lena, no. 319737.  This is a plush toy which plays music when wound.",Toys & Children,Toys,"Dolls, Plush Toys, and Action Figures (1394)",1394,"Spin Master, Ltd",Baby Gund,319737,,,,,Amazon.com,,,Yes,"Purchased Baby Gund Little Blessing Lena, which ia stuffed plush toy in the shape of a lamb.  The label bears the number 319737.  Purchased it thru Amazon.com. Built into it is a music box which plays Brahams Lullabies.  It has a plastic wind up key in order to activate the music.  I bought this for my infant grand daughter last year.  In April, 2019, the plastic key broke off, leaving a plastic stump in the shape of a sharp arrowhead.  When I advised the company, they said they cannot do anything about this toy, but mailed me a ring toss game which is good for a 3 year old and has absolutely nothing to do with the toy I originally purchased.  In addition, they said nothing about the dangerous pointy broken stalk, which I pointed out as being a safety hazard to babies.",Bellmore,New York,11710,Home/Apartment/Condominium,"Incident, No Injury",Female,Other Relative,1.0,Yes,No,,,No,Yes,,Company sent a game totally unrelated to this toy. ,,,
430,20230213-2977D-4107132,2/13/2023 ,3/9/2023 ,3/31/2023 ,Consumer,"powered, toy dump truck",Toys & Children,Toys,Toy Vehicles (Excluding Riding Toys) (5021),5021,Sunny Days Entertainment LLC,"Max Action 2-N-1, Gig Rig Dump Truck",,,,,,Target,,1/17/2023 ,No,"2/12/2023:  The consumer’s 47 months old, grandson was lifting the control lever on this battery powered toy.  The back part of the dump truck’s bin, which can be raised and lowered, clamped down on his hand, while he held the control lever.  The child started screaming.  His father, quickly raised the bin and freed his child’s hand from the toy.  The consumers applied ice to his hand to aid with the redness that occurred.The consumer reported this incident to the dealer.  The dealer’s rep. (name unknown) told her that she would transfer her to the manufacturer, but she transferred her to a company, who had nothing to do with this product.",Baltimore,Maryland,,Home/Apartment/Condominium,Injury - First Aid Received by Non-Medical Professional,Male,Other Relative,3.0,Yes,No,,,No,No,Yes,She has the toy and will try to contact the mfr.,Sunny Days Entertainment LLC: Child safety is a priority at Sunny Days Entertainment. All toy and baby products are rigorously tests to ensure compliance with current ASTM and CPSIA regulations.Pertaining to the ‘pinching incident’; the toy dump truck is compliant with ASTM F963-17 mechanical requirements pertaining to Toys age 3+.  Toys with movable parts that open and close are more susceptible to accidental pinching when a child is not supervised. ,,
431,20230804-40776-2147346017,8/4/2023 ,8/9/2023 ,8/23/2023 ,Consumer,Product’s name PROLOSO 15-Pack LED Light Up Flashing UFO Spinning Tops with Gyroscope Novelty Bulk Toys Party Favors,Toys & Children,Toys,"Toys, Not Elsewhere Classified (1381)",1381,PROLOSO,Proloso,B07CHC8379,B07CHC8379,B07CHC8379,5/1/2023 ,B07CHC8379,Proloso,Washington,7/13/2023 ,Yes,It is a toy safety report. I purchased a spinning top from Amazon for our 5 years old kid. But when I show how it works. The sharp edges hurt me and my finger keep bleeding. safety should always come first. It has Sharp edges and sharp points. The material of the spinning tops is polymerization vinyl chloride. Which is associated with an increased risk of a rare form of liver cancer. When you spin the toy. It breaks easily. Also avoid giving them to toddlers and babies cuz they smash to small pieces of plastic.It happened 18 days ago. But I think I have a responsibility to avoid it happening again. Also I read the review. Lots of mom and kids hurt by the spinning top too. I think the company doesn’t have any customer service and never reply our questions. We are so disappointed!,Bellevue,Washington,98008,Home/Apartment/Condominium,Injury - Level of care not known,Unknown,Self,,Yes,No,,,,Yes,,The toy broken easily and smashed to sharp plastics.,,,
432,20240612-3886F-2147338641,6/12/2024 ,6/17/2024 ,7/2/2024 ,Consumer,"Mini tumbler toy, I.42 inches by 1.24 inches. A plastic figure that has a metal ball at its base to make it wobble. The metal ball can easily be removed.",Toys & Children,Toys,"Toys, Not Elsewhere Classified (1381)",1381,"Wuhu Fengfengniu Electronic Commerce Co. , Ltd",Mini tumbler toy,,,,,,Amazon,,,No,My neighbors three year old got one of these toys at a birthday party. The toy is easy to pull apart and inside is a small metal ball. The child swallowed the metal ball and had to go to the ER. The metal ball was in her stomach but could have gone into her trachea. This is a very unsafe toy.,Anchorage ,Alaska,99501,Unspecified,Injury - Emergency Department Treatment Received,Female,My Friend / Neighbor / Co-worker,3.0,,,,,,,,,,,
433,20191208-A5859-2147376145,12/8/2019 ,1/6/2020 ,1/28/2020 ,Consumer,NERF Rival Atlas toy blaster -- has an elongated oval shaped opening in the side where her thumb got caught,Toys & Children,Toys,Toy Guns With Projectiles (1399),1399,HASBRO INC.,NERF,Rival Atlas XVI-1200 B3857,,,,,,,,No,"My 12 year old child got her thumb caught in an opening of the side of the NERF Rival Atlas toy.   The toy was compressing her thumb tightly, and it was very painful.  We could not get her thumb out with water and oil.  We tried to crow-bar the toy open without success.  We were concerned that the toy may cut off circulation to her thumb, and we actually called 911 during the frenzy of trying to get her thumb out. Finally, we found a screwdriver to open the toy.   We applied ice after the incident.  Fortunately we think her thumb is not broken, but her thumb still hurts.",,,,Home/Apartment/Condominium,Injury - First Aid Received by Non-Medical Professional,Female,My Child,12.0,No,No,,,No,No,Yes,I plan to notify the manufacturer., Product safety is a top priority at Hasbro; thank you for your feedback and contacting Hasbro directly. Should you have any further questions please contact our trained professionals at 800.255.5516 or going to  https://consumercare.hasbro.com/en-us,,
434,20110518-E655C-2147479053,5/18/2011 ,,6/9/2011 ,Consumer,Foam toy blocks,Toys & Children,Toys,"Blocks, Stacking Toys or Pull Toys (1326)",1326,Edushape ltd,Edushape,Educolor Blocks,0122108634ch,7290012679391,,,Pizazz Kids,New York,4/1/2011 ,Yes,"My baby chewed on a foam block toy and bit a large chunk of the foam out of hte toy, posing a choking hazard.",,,,Home/Apartment/Condominium,"Incident, No Injury",Female,My Child,-1.0,Yes,No,,,No,Yes,,"I called the manufacturer and they told me they would send me a box to send back the product. Over two months later, nothing ha happened."," [REDACTED]  initially contacted us on April 22nd.  Our customer service assisted her and issued a call tag so we could get the block set back and evaluate it. We also offered her a replacement toy of her choice.  [REDACTED] called again on May 19th and advised us that the call tag was never received.  A second call tag was sent out together with a replacement item that she chose which were both delivered on May 20th.  As of yet, we have not received the item in question for further evaluation.  Edushape has tested this item using an independent testing lab both in 2007 and 2009 and following this incident, the product was sent for additional testing. ",,
435,20210323-E8DD4-2147365228,3/23/2021 ,3/30/2021 ,4/13/2021 ,Child Service Provider,iMAGINARIUM  drop and go ramp racer,Toys & Children,Toys,Toy Vehicles (Excluding Riding Toys) (5021),5021,Toy's R Us,Imaginarium,5F5ED78,10252011,0351651519,10/1/2011 ,,,,,No,Child was playing with the toy and her hand got stuck between the ramps.  Had to break toy apart to remove childs hand,Commack,New York,11725,School,Injury - Seen by Medical Professional,,Unspecified,4.0,Yes,No,,,,No,,,,,
436,20110315-249B5-2147481368,3/15/2011 ,,4/6/2011 ,Consumer,a small plastic party favor sized kaleidescope given in a goddie bag at a child's bday party. [REDACTED],Toys & Children,Toys,Party Favors (1720),1720,"Hallmark Cards, Incorporated",,,,,,,,,,No,"A plastic toy kaliedescope, typically packaged as party favors has an opening for the child to look through. My 5 yr old child got her finger stuck inside this opening, requiring emergency room visit to have the toy cut off of her finger which had swollen inside the toy.  ",Atlanta,Georgia,30350,Home/Apartment/Condominium,Injury - Emergency Department Treatment Received,Female,My Child,5.0,No,No,,,No,No,Yes,I have to ask the parent that gave them out where she bought the favors.,,,
437,20240812-3BD78-2147337284,8/12/2024 ,8/15/2024 ,8/29/2024 ,Consumer,Nuby Buzzy Blossoms with Suction Base High Chair Interactive Toy for Early Development,Toys & Children,Toys,"Toys, Not Elsewhere Classified (1381)",1381,"Luv n' care, Ltd",Nuby ,80174,,,,2016,,,,No,7 month old granddaughter was playing in the highchair with the Nuby Buzzy Blossoms with Suction Base High Chair Interactive Toy for Early Development. I saw the top of the toy on the ground while the suction base was still on the highchair tray. I found the metal piece that holds the suction and toy together in her lap.,Shreveport ,Louisiana,71107,Home/Apartment/Condominium,"Incident, No Injury",Female,Other Relative,-1.0,Yes,No,,,,No,,Toy had not been modified and has been used without incident until today. ,"Luv n' care, Ltd: The consumer contacted us on August 12th, and we immediately began testing in-house product but were unable to duplicate the problem she experienced.  We then verified her mailing address and sent her a prepaid mailer to return the product.  USPS tracking shows that the consumer has received the package, and we are awaiting the return package with the product.",,
438,20130130-1058B-1300953,1/30/2013 ,2/28/2013 ,3/22/2013 ,Consumer,Wodden Surf Wagon Production date 010111Batch No. 408,Toys & Children,Toys,Toy Vehicles (Excluding Riding Toys) (5021),5021,Jack Rabbit Creations,,844 Woody,,,,,Sand People Kids ,Hawaii,1/22/2013 ,No,The consumer says the product has magnets taped onto the toy and are easily pulled out.  The size of the magnets are less than half of a  pea.  She says her grandson was playing with the toy.  The consumer says he was able to pull out the magnet and started playing with it.  They noticed the issue before he was able to ingest it or put in his mouth.  the consumer says the toy is intended for children ages 3 and up.She has yet to contact the manufacturer.  This incident occurred the same day she purchased the toy.  ,,,,Unspecified,"Incident, No Injury",Male,Other Relative,,No,No,,,No,Yes,Yes,,,,
