Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Report No.,Report Date,Sent to Manufacturer / Importer / Private Labeler,Publication Date,Category of Submitter,Product Description,Product Category,Product Sub Category,Product Type,Product Code,Manufacturer / Importer / Private Labeler Name,Brand,Model Name or Number,Serial Number,UPC,Date Manufactured,Manufacturer Date Code,Retailer,Retailer State,Purchase Date,Purchase Date Is Estimate,Incident Description,City,State,ZIP,Location,(Primary) Victim Severity,(Primary) Victim's Sex,My Relation To The (Primary) Victim,(Primary) Victim's Age (years),Submitter Has Product,Product Was Damaged Before Incident,Damage Description,Damage Repaired,Product Was Modified Before Incident,Have You Contacted The Manufacturer,If Not Do You Plan To,Answer Explanation,Company Comments,Associated Report Numbers
20180409-FBA7F-1750587,4/9/2018 ,6/7/2018 ,6/21/2018 ,Consumer,"Toy ball with string attached","Toys & Children","Toys","Toys, Not Elsewhere Classified (1381)",1381,"Big Time Toys, LLC","YoYo Ball","171103XH",,,,"2003","Walmart","Virginia",3/15/2003 ,Yes,"Caller was sitting on the couch while her son was playing with the Yoyo ball. The son was swinging the ball back and forth. When the ball came back the son did not catch it and it hit the caller in the mouth injuring her tooth. The caller had to receive 3 oral surgeries because of this incident. The callers front tooth crown broke. The real tooth underneath the crown was fractured. The root of the tooth had a horizontal fracture. Caller had to get a bone graft done. Caller had to purchase a dental retainer that she has to wear for 6 months.Caller believes that the way the ball is created causes a hazard. The yoyo is a hard plastic ball and if not used properly can be a very hazardous toy in the household. NOTE:  Caller may add more injury details upon receipt of this report.","Fredericksburg","Virginia",22405,"Home/Apartment/Condominium","Injury - Seen by Medical Professional","Female","Self","",Yes,No,,,No,No,No,"The caller stilll has the product.","",
20171006-27BCE-1702642,10/6/2017 ,2/16/2018 ,3/12/2018 ,Consumer,"Miss Kitty Toy Kitchen","Toys & Children","Toys","Pretend Electronics, Tools, Housewares & Appliances (5020)",5020,"Target","Miss Kitty ","unknown","unknown",,,"unknown","Target","Minnesota",11/1/2016 ,Yes,"My granddaughter was playing with a Miss Kitty Toy kitchen. Her arm got caught in the toy ice machine pinchingher arm and could not be pulled out without severe lacerations. My husband had to remove 8 screws to get her outof it all while she was screaming In pain. Luckily she had only red marks on her arm and no open wounds. Thisshould be taken off the market.","Leesport","Pennsylvania",19533,"Home/Apartment/Condominium","Injury - No First Aid or Medical Attention Received","Female","Other Relative","2",Yes,No,,No,No,No,No,," Target is committed to providing high quality and safe products to our guests. We take all product safety concerns very seriously. Please contact Target at 1-800-440-0680. ",
20200627-BFC45-2147371441,6/27/2020 ,7/22/2020 ,8/5/2020 ,Consumer,"Baby’s toy dog with rattle ","Toys & Children","Toys","Dolls, Plush Toys, and Action Figures (1394)",1394,"THE BEARINGTON COLLECTION","Bearrington baby collection ","Bearington baby dog ","1009810191611",,,,,,,No,"Small baby’s  toy that has a rattle came apart leaving very small choking hazards in the baby’s cot.","Oakton ","Virginia",22124,"Home/Apartment/Condominium","Incident, No Injury","Female","My Child","-1",Yes,No,,,No,No,Yes,,"",
20210312-5440D-2147365397,3/12/2021 ,3/22/2021 ,4/5/2021 ,Consumer,"Dollar tree [REDACTED] toy ","Toys & Children","Toys","Other Toy Weapons (Nonprojectile) (1389)",1389,"GREENBRIER INTERNATIONAL","Dollar tree ","Pink [REDACTED] telescoping sword toy ","303240-06695-382-000920",,,,"Dollar tree",,2/18/2021 ,No,"Swallowed 3 button batteries: dollar tree [REDACTED] toy: lightweight plastic: two tiny screws not sure if they were present when purchased or if they wiggle out from regular use. Sword part could be unscrewed so if batteries wiggled loose they could come out that way. Without screws handle can be taken apart. Special needs 25 year old opened handle and exposed parts including swallowed batteries (like she takes her medicine). ER X-ray. ER Had to flush her system with laxative and eventually do colonoscopy under general anesthesia to remove them from her colon. 7 day matter until resolved. ","Livermore ","California",94550,"Home/Apartment/Condominium","Injury - Hospital Admission","Female","My Child","25",,,,,,,,,"",
20211029-FB889-3481182,10/29/2021 ,11/23/2021 ,12/15/2021 ,Consumer,"Plastic toy shopping cart","Toys & Children","Toys","Pretend Electronics, Tools, Housewares & Appliances (5020)",5020,"Little Tikes Company","The Little Tikes",,,,,,,,,No,"The consumer said that her 18 month old, grandson got his head stuck in between an opening on the toy shopping cart.  She was able to free him and he was not injured.  However, she is concerned that the toy may present a strangulation hazard.  She is unsure of how he got his head caught in the opening.She could not find any model or serial information for the product.","Goshen","New York",10924,"Mobile/Manufactured Home","Incident, No Injury","Male","Other Relative","1",Yes,No,,,No,No,No,"The consumer has the product.","Little Tikes Company: Consumer contacted Little Tikes and the child is fine.  We exchanged the product and the consumer appeared satisfied.  This product has been in production for over 15 years and meets/exceeds industry safety standards.",
20210822-705A6-2147360955,8/22/2021 ,8/25/2021 ,9/16/2021 ,Health Care Professional,"rare-earth magnetic toy","Toys & Children","Toys","Building Sets (1345)",1345,"Retrospective Goods LLC","Speks","unknown","unknown","unknown",11/30/1900 ,"unknown",,,,No,"A 10-year-old girl swallowed a chain of Speks brand rare-earth magnets on August 17, 2021, after her mother told her not to do so. She was evaluated in a local urgent care clinic, where an abdominal radiograph revealed a chain of radio-opacities, consistent with 2.6-mm-diameter magnets. She was transferred to a regional children's hospital, were she was admitted for unsuccessful endoscopic retrieval;  she then had serial radiographs obtained to track the magnets, which appeared to move through the gastrointestinal track. She was discharged on August 18, 2021. She continued to have intermittent abdominal pain, and was re-evaluated on August 22, 2021, when an abdominal CT scan revealed the chain of magnets, now in the cecum. She was again admitted for gastrointestinal cleanout and likely colonoscopy.",,,,"Home/Apartment/Condominium","Injury - Hospital Admission","","Unspecified","10",,,,,,,,,"Retrospective Goods LLC: Speks are adult products marketed and promoted as a product for adult use and are not marketed, promoted or sold as a toy for or intended for children and include explicit warnings to keep them away from all children.  The Speks package bears the warning label shown below in 5 locations including on the (1) Top of plastic box, (2) side of plastic box, (3) top of paper box, (4) instructions, and (5) carrying case.  Although Speks are not marketed, promoted, or intended for children, Speks meet all toy and safety standards for children 3 and older and have a flux index rating significantly less than 50 kG2 mm2.   Among other warnings, the Get Speks website includes the following warning:  WARNING: Keep Away From All Children! Do not put near or in nose or mouth. Swallowed magnets can pinch and stick together across intestines causing serious injury or death. Seek immediate medical attention if magnets are swallowed or ingested.",
20220209-069BF-3595387,2/9/2022 ,3/29/2022 ,4/12/2022 ,Consumer,"Children's toy science kit","Toys & Children","Toys","Chemistry Sets or Science Kits (1393)",1393,"SCIENTIFICS DIRECT","The Mad Scientist's Big Laboratory Kit","Item # 3156949",,,,,"www.scientifcsonline.com",,12/15/2021 ,No,"1/25/2022:  The consumer and her granddaughter were conducting an experiment with the science kit.They placed a substance that came in the kit, into a glass container, that the consumer owned.  The substance was supposed to be heated in the microwave for 60 seconds.  However, after heating it for 30 seconds, the consumer’s granddaughter told her that the product was catching fire.  The consumer said no and turned the microwave off.  A few seconds later, she restarted it and within a seconds, the glass and the contents inside it, exploded in the microwave.  Damage was limited to the product inside, but there was none to the microwave itself.  The consumer cleaned the glass up without injury.1/2022:  The consumer called the manufacturer and reported the problem to them.  Their rep. offered to reimburse her the cost of the kit.  The consumer asked to speak with someone in their Science Department, but the rep. said that the person (name unknown) was unavailable and would call her back.  She never received a call back.  She is not sure if or when they’ll send the reimbursement, but she’s more concerned with discussing the safety of the product with the appropriate person in the firm.There was a precaution “only use with adult supervision.”There were no other warnings on the product.",,,,"Home/Apartment/Condominium","Incident, No Injury","Female","Unspecified","10",Yes,No,,,No,Yes,,"She has some of the product and contacted the mfr.","",
20221225-72B61-2147351864,12/25/2022 ,1/3/2023 ,1/18/2023 ,Consumer,"Child toy, magnetic blocks.","Toys & Children","Toys","Blocks, Stacking Toys or Pull Toys (1326)",1326,"MVW Holdings, Inc.","Magma-Qubix","Magna Qubix","N/A","31291 18029",,,"Target",,12/7/2022 ,Yes,"Choke hazard from Magna-Qubix magnetic blocks. Blocks come apart easily , releasing tiny magnets.","Davis","California",95616,"Home/Apartment/Condominium","No Incident, No Injury","","My Child","2",,,,,,,,,"",
20240207-0C193-2147341194,2/7/2024 ,2/8/2024 ,2/23/2024 ,Consumer,"It is a toy workbench and tool set","Toys & Children","Toys","Pretend Electronics, Tools, Housewares & Appliances (5020)",5020,"Harbor Freight Tools","Harbor Freight ","Model number 56515","193175491633","193175491633",,"Unknown ","Harbor freight ","Pennsylvania",,No,"I purchased a toy workbench from Harbor Freight. This toy is extremely unstable and if any child leans on it they run the risk of falling. My grandchild fell and she barely touched it. It is grossly overpriced and misrepresented. According to the description it supposedly  has realistic sounds which does not. Its not only dangerous but a complete waste of money. It should be pulled off of the shelves entirely.","Andalusia","Pennsylvania",19020,"Home/Apartment/Condominium","Injury - No First Aid or Medical Attention Received","Male","Other Relative","3",,,,,,,,,"Harbor Freight Tools: Harbor Freight Tools thanks our customer for bringing this report to our attention. Harbor Freight takes all customer reports seriously and has investigated these concerns. All toys sold by Harbor Freight, including the Junior Toy Workbench, have been tested and shown to comply with the requirements of the Consumer Product Safety Act and meet mandatory requirements, including the applicable provisions of ASTM F963. In order to show compliance, the product is tested annually by a third-party testing laboratory that has been accredited by the CPSC.  Harbor Freight notes that the Junior Toy Workbench’s shipping weight is less than 6 pounds and is recommended for children over the age of 3. Harbor Freight has not received any claims of injuries related to the Junior Toy Workbench. Because of its low weight and highly portable nature, the Junior Toy Workbench does not pose a serious risk of injury to children.  We encourage any consumers with questions about products purchased at Harbor Freight Tools to contact us at 800-444-3343.",
20250424-EE40C-2147331743,4/24/2025 ,4/28/2025 ,5/12/2025 ,Consumer,"Stretchy fidget toy dog.","Toys & Children","Toys","Dolls, Plush Toys, and Action Figures (1394)",1394,"ZUGAR LLC","Brand: Zugar Land 4.0 4.0 out of 5 stars (19) Squi","Unknown ","Unknown ","Unknown ",,,,,,No,"My granddaughter was playing with the stretchy sand filled dog toy when the leg came off blowing sand in her eyes","North Chesterfield ","Virginia",23235,"Home/Apartment/Condominium","Injury - First Aid Received by Non-Medical Professional","","Other Relative","4",,,,,,,,,"",
20240725-3D13E-2147337744,7/25/2024 ,7/31/2024 ,8/21/2024 ,Consumer,"Viral moving/singing cactus toy","Toys & Children","Toys","Dolls, Plush Toys, and Action Figures (1394)",1394,"Dongguan Bright Art and Culture Communication Co., Ltd.","Pbooo",,,,,,"Amazon",,2/10/2024 ,No,"I was in the restroom while I had my son in his playpen. I came back and saw he had this toy in pieces and the cap was in his mouth. Ive had 10 yr olds kids play with this toy and they have never taken it apart like this. Hes had it since he was about 6 months, he is 10 months now.","Friendswood ","Texas",77546,"Home/Apartment/Condominium","Incident, No Injury","Male","My Child","-1",Yes,No,,,,No,,,"",
20210720-456DD-3389603,7/20/2021 ,8/13/2021 ,8/27/2021 ,Consumer,"Pull along rolling animal toy","Toys & Children","Toys","Blocks, Stacking Toys or Pull Toys (1326)",1326,"Kiddos KC LLC","Kiddos","unknown",,,,,"amazon.com",,7/16/2021 ,No,"Caller stated that while his 15 month old grandchild was playing with the toy the plastic wheels broke apart dispersing several beads to the floor. The child was able to swallow some of the beads when they noticed the incident.  Caller stated that her pediatrician was contacted and they were advised to watch the child's feces to see if she passed them out.  Caller stated that the child had passed out about 5 of the beads.  Caller stated that the toy is applicable to children from 1-4 yrs old.The seller was contacted about the incident and he was advised that he would receive a refund.Caller feels that this toy is unsafe for children and should be recalled.","Fayetteville","Georgia",30215,"Unspecified","Injury - Seen by Medical Professional","Female","Other Relative","1",Yes,No,,,No,Yes,,,"",
20220929-1E1BF-2147353592,9/29/2022 ,10/26/2022 ,11/16/2022 ,Consumer,"Heroes of Goo Jit Zu Classic Sonic The Hedgehog toy","Toys & Children","Toys","Dolls, Plush Toys, and Action Figures (1394)",1394,"Moose Toys PTY LTD","Heroes of Goo Jit Zu",,,,,,"Walmart",,9/14/2022 ,Yes,"My son stretched this popular Sonic The Hedgehog toy out and got it around his neck somehow and couldn't get it off. It has a gummy/tacky texture to it and was twisted on itself and was not budging when he was trying to pull it off, it was extremely tight. The toy tries to return to its original shape so it has a natural shrinking tendency to it.My son had a red face and fear in his eyes when I was getting it off his airway. It scared us both. I'd definitely recommend supervised play if any at all. The toy is rated 3+, but my 4 year old wasn't strong enough to remove it from his neck.","Miami ","Oklahoma",74354,"Home/Apartment/Condominium","Incident, No Injury","Male","My Child","4",,,,,,,,,"",
20171201-41283-2147394902,12/1/2017 ,3/5/2018 ,3/19/2018 ,Consumer,"Toy named oball rattle and roll. Toy car with rattle balls in the wheels. Kidsii.com/connect","Toys & Children","Toys","Baby Rattles (1517)",1517,"KIDS II, INC","Kids ii","81510",,"074451815100",,,"Walmart","Illinois",11/29/2017 ,No,"Oball rattle and roll fell off the table and the wheel rim fell off releasing the tiny rattle balls . The rim and balls are both a choking hazard. The toy is listed for 3 months and up. This was going to be a gift for a new baby. Had not wrapped it or given it to baby yet.","Minooka ","Illinois",60447,"Home/Apartment/Condominium","Incident, No Injury","","Unspecified","",,No,,,No,No,Yes,"I tried to call them today but they are gone for the dat","",
20180516-BA556-2147387934,5/16/2018 ,7/18/2018 ,8/1/2018 ,Consumer,"Bath toy, catipillar like with blue cup top and gear at bottom","Toys & Children","Toys","Water Toys (1365)",1365,"Munchkin Inc.","Munchkin",,,,,,"Amazon",,12/9/2017 ,Yes,"Gave my son this toy for Christmas after the second bathtime with it, it broke in two at the joint under the cup and beads came out. He put the beads in his mouth.  I believe I was able to swipe them all out of his mouth. I throw away the bottom part of toy and only kept the top cup part.","Trafalgar","Indiana",46181,"Home/Apartment/Condominium","Incident, No Injury","Male","My Child","-1",No,No,,,No,No,No,,"",
20190808-94143-2147379362,8/8/2019 ,8/16/2019 ,8/30/2019 ,Consumer,"Fisher Price toy food truck","Toys & Children","Toys","Pretend Electronics, Tools, Housewares & Appliances (5020)",5020,"FISHER-PRICE BRANDS","Fisher Price","food truck","1186MJ1NL",,,,"received as a gift",,1/17/2019 ,No,"On August 06, 2019 my 18 month old grandson was playing with a Fisher Price toy Food Truck and his head got stuck in the door on the lower right side of this toy. It took approximately 1 minute to get his head unstuck. He was taken to the pediatrician for evaluation as he sustained some bruising to the side of his face.","Massapequa","New York",11758,"Home/Apartment/Condominium","Injury - Seen by Medical Professional","Male","Other Relative","1",Yes,,,,,Yes,,"manufacturer wants item returned","",
20230806-19270-2147345964,8/6/2023 ,8/8/2023 ,8/22/2023 ,Consumer,"Cocomelon Petting Farm PlaysetRedPlays old Macdonald Coco melon","Toys & Children","Toys","Doll Houses and Other Play Scenes (5018)",5018,"Jazwares, Inc.","Cocomelon ","Not sure","Not sure ","1917264451",,,"Target",,7/30/2023 ,Yes,"Cocomelon Petting Farm Playset18 mo+ toy no choking hazard warningThe barn doors are not fully attached/are easily pulled off. The barn doors are small, fitting easily down a toilet paper roll. These doors pose a significant choking hazard if left on. Thankfully I caught the issue when opening the toy, so no injuries occurred.","Evansville ","Indiana",47710,"Home/Apartment/Condominium","Incident, No Injury","Male","My Child","1",Yes,No,,,,No,,,"Jazwares, Inc.: Jazwares, LLC takes product safety very seriously. We appreciate all consumer contact regarding our products and we investigate all reports such as this one. The Cocomelon Petting Farm Playset meets all relevant CPSC safety requirements, including small parts requirements, and are manufactured in facilities where Jazwares carefully maintains quality and safety oversight in production. Jazwares is currently reviewing the information provided to date and will continue to monitor this product for similar reports. We encourage our customers to always provide information about safety-related incidents to our Customer Service Department at Jazwares.com/contact-us.",
20230327-4E4C9-2147348440,3/27/2023 ,3/30/2023 ,4/13/2023 ,Consumer,"Wooden pole with handle, spinning butterflies on base, rolls on wheels across floor. Internal makes butterflies spin as wheels roll. Colors of wood, green, red. SKU: E0341BAward Winning Hape Dancing Butterflies Push and Pull, L: 4, W: 6.9, H: 22.2 inch; Hape Dancing Butterflies Push And Pull","Toys & Children","Toys","Blocks, Stacking Toys or Pull Toys (1326)",1326,"Hape Intl. Inc. ","Hape",,,,,,"Amazon online website",,,No,"The walk and push toy, my son has had for about a year. It is a Hape butterfly twirling wooden stick toy with wheels. The other day the stick completely snapped, becoming a hazard of impalement had he been running quickly. There are other reviews on amazon which show breakage of this part even when the child is sitting and casually moving it.","Norfolk","Virginia",23503,"Home/Apartment/Condominium","Incident, No Injury","Male","My Child","2",No,No,,,,Yes,,,"",
20230816-8B152-2147345779,8/16/2023 ,8/18/2023 ,9/11/2023 ,Consumer,"It is a Target- branded shopping cart marketed & displayed as a toy for toddlers. It looks like a tiny version of a real shopping cart at target (red, with bullseye logo on the side) and gray handle.","Toys & Children","Toys","Pretend Electronics, Tools, Housewares & Appliances (5020)",5020,"Target","Target",,,"192995713048",,,"Target","Tennessee",7/14/2023 ,No,"My child has a permanent scar from a cut obtained by a shopping cart toddler toy sold by target. The toy has very sharp edges just under the cart itself. He barely brushed his leg against the bottom of the cart and now, two weeks later, he has a deep colored scar across his leg.","Kodak","Tennessee",37764,"Home/Apartment/Condominium","Injury - First Aid Received by Non-Medical Professional","Male","My Child","1",Yes,No,,,,No,,,"Target: Target is committed to providing high quality and safe products to our guests. We take all product safety concerns very seriously. Please contact Target at 1-800-440-0680",
20240930-E984A-2147336225,9/30/2024 ,10/3/2024 ,10/18/2024 ,Consumer,"https://a.co/d/ckJk1jlPlastic sushi food play kit with a color-changing blowtorch toy","Toys & Children","Toys","Pretend Electronics, Tools, Housewares & Appliances (5020)",5020,"FUNPYNANI","Funpynani","Funpynani 34Pcs Play Sushi Food Set",,"X003KWK21N",,,"Amazon",,,No,"We received the below Amazon toy as a present for our child. When opening the toy, we were surprised at the harshness of the LED light from the blowtorch. It seemed like UV light to us. It also changes the color of the sushi, which seems like regular light wouldnt do but UV light would dohttps://a.co/d/ckJk1jl","Issaquah","Washington",98029,"Home/Apartment/Condominium","Injury - No First Aid or Medical Attention Received","","My Child","3",Yes,No,,,,No,,,"",
20240207-A6B16-2147341178,2/7/2024 ,2/9/2024 ,2/26/2024 ,Health Care Professional,"Fisher-Price Little People Barbie Little Dreamhouse Toddler Playset With Music & Lights16.54 x 24.02 x 24.02 inches","Toys & Children","Toys","Doll Houses and Other Play Scenes (5018)",5018,"FISHER-PRICE BRANDS","Fisher-Price Little People",,,,,,,,,No,"1. Nurse home visit performed. Tested child's suspected toy items with lead swab, positive result. Consulted withstate program, recommended to report incident.2. Child toy3. Child using product4. Used for play time5. Child with elevated blood lead level6. Possible exposure to leaded item","Oxnard","California",93012,"Home/Apartment/Condominium","Injury - Seen by Medical Professional","","Unspecified","1",Yes,No,,,,No,,,"",
20231227-6D234-2147343218,12/27/2023 ,12/29/2023 ,1/17/2024 ,Consumer,"Packet of “water beads” inside a child’s toy","Toys & Children","Toys","Slingshots or Sling-propelled Toys (1352)",1352,"Namii W","Namii W Slingshot Chicken Rubber Chicken Flick Chi",,,,,,"Amazon",,12/19/2023 ,No,"Purchased this product and inside was a packet of multicolored water beads, packaging looked like a toy Namii W Slingshot Chicken Rubber Chicken Flick Chicken Flying Chicken Flingers Stress Gag Toys, Rubber Chicken Slingshot Funny Christmas Stuffers Easter Chicks Novelty Gifts for Kids (Yellow 10 Pcs) https://a.co/d/glkRka6","Warwick","Rhode Island",02888,"Unspecified","No Incident, No Injury","","Unspecified","",,,,,,,,,"",
20181215-AC00D-2147383749,12/15/2018 ,2/27/2019 ,3/14/2019 ,Consumer,"Beyblade Random Party 20 Pack from Metal Fusion, Metal Fury, Metal Master, Zero G Shogun Steel, Burst Series (sold by Let It Rip)https://www.walmart.com/ip/Beyblade-Random-Party-20-Pack-from-Metal-Fusion-Metal-Fury-Metal-Master-Zero-G-Shogun-Steel-Burst-Series/138445590","Toys & Children","Toys","Toys, Not Elsewhere Classified (1381)",1381,"Rapidity (aka Let It Rip)","Beyblade Random Party 20 Pack from Metal Fusion, Metal Fury,",,,,,,"Walmart.com","Arkansas",11/27/2018 ,No,"This toy is a pack of 20 Beyblade fast spinning tops for children.  Children normally spin two of these toys together so that the tops can crash into each other in a battle.  The tops spin at a high rate of speed.  The metal parts of this particular toy were painted with a white metallic paint.  During one incident, the white paint chipped off during play and flew into my child's eye.  This caused him extreme pain.  We were lucky that the chipped paint was easily seen underneath his top eyelid and were able to remove it.  Following the incident, we found several other pieces of white chipped paint all over his clothing.  The chipped paint in all cases was 1-2 mm or less in length.The Beyblades sold by this vendor do not appear to be genuine.  Genuine Beyblades are not coated with any type of metallic paint that can chip off.In my opinion, this toy is a safety hazard to children and should be recalled.","Rolling Hills Estates","California",90274,"Home/Apartment/Condominium","Injury - First Aid Received by Non-Medical Professional","Male","My Child","9",No,No,,,No,Yes,,"Returned product to seller with explanation of product defect.","",
20210810-08EE3-2147361199,8/10/2021 ,8/13/2021 ,8/27/2021 ,Consumer,"ZILEMOPO ToyIt is a small light up play table that is blue. It has a giraffe on it and a violin. It has a 4 key piano and a toy clock in the middle with the hand being able to be pushed around to make sounds. It has a circle with an elephant, bird and dog that you can flip on the left top part of the table. I got it from Amazon. It is the TOT kids 2 in 1 baby activity table. This is what it says on the ad title on Amazon  I do not know the date it was manufactured but it won’t let me move on without putting one. So it is just a random date. ZILEMOPO Baby Musical Instruments Activity Table Interactive Learning Toy Piano with Fun Animal World Babies Early Education Toys for Toddlers 1 2 3 Years Old Boys & Girls- Lighting & Sound Gifts","Toys & Children","Toys","Toy Musical Instruments (1344)",1344,"Zilemopo","ZILEMOPO","I can’t find the model name or number. ","I do not have the box from the product ","N/A",6/10/2020 ,"I don’t have this. ","Amazon ",,,No,"I was playing with my son and 2 screws and little blue plastic circles fell off the back of the toy. It is a choking hazard so I want to report it to keep children safe. It was from Amazon. It’s a small play table that lights up. This is the title of it on the Amazon ad - “ZILEMOPO baby musical instruments activity table interactive learning toy piano with fun animal work babies early education toys for toddlers 1 2 3 years old boys and girls - lighting & sound gifts.” My son was using the toy earlier today but I hadn’t noticed they fell off until we went back into his play pen after his nap. He was playing with it on the ground and pushing the buttons. They were no injuries thankfully because I found the pieces before he could have choked on them. It could have been deadly if I didn’t find them so I think this product needs taken off the market.","Columbus ","Ohio",43212,"Home/Apartment/Condominium","No Incident, No Injury","Male","My Child","",Yes,No,,,,No,,,"",
20240130-5C17C-2147341379,1/30/2024 ,2/1/2024 ,2/23/2024 ,Consumer,"Set of three car toys, rattle and roll infant soft rubber inertia pull back vehicles. One is purple, green, and blue. Two are cars, one is a turtle.","Toys & Children","Toys","Toy Vehicles (Excluding Riding Toys) (5021)",5021,"LEFEI","LEFEI",,,,,,"Amazon",,12/20/2023 ,Yes,"My daughter (9M)  was playing in her playpen when she somehow kept finding these little pieces of neon plastic, I kept throwing them out and while I was inspecting her toys she had a piece in her mouth. It was very sharp and scraped her tongue when I got it out quickly, thankfully shes okay. I found out it was these little car toys her great-grandma had gotten her for Christmas. The product is intended for 6M-18M olds, so it makes me scared for the other babies using it and their parents not catching it in time. They have a little ball on the inside that supposed to make noise and be a sort of rattle, but the balls on all of them I found were either cracked or broke and the way the toy is designed the broken plastic will come right out where the baby playing with them can get their hands on it.  This is the product: https://a.co/d/iPLpSs3Called Baby cars toys from the LEFEI store off Amazon.","Kansas City","Missouri",64138,"Home/Apartment/Condominium","Injury - No First Aid or Medical Attention Received","Female","My Child","-1",,,,,,,,,"",
20180402-067FE-2147388864,4/2/2018 ,9/19/2018 ,10/3/2018 ,Consumer,"A Caterpillar bulldozer flashlight that makes sound. It has a handle with buttons and also wheels that roll. It is yellow and approximately 8 inches long. It has stickers that say CAT and 4 stickers that say CATERPILLAR. On the bottom it says Toy Sate Industrial LTD","Toys & Children","Toys","Pretend Electronics, Tools, Housewares & Appliances (5020)",5020,"Toy State International Limited","Toy State",,,,,,"ToysRUs","California",3/30/2018 ,No,"My children were just playing with the toy, at one point they were banging it on the ground, but not even very hard as they are not even one. Then I found a screw  head with a little washer on the floor. We had found one on the floor three days ago,  the day we opened this product but I didn’t know where it had come from. It is very small, only 1mm long and could easily be swallowed or choked on.",,"California",92646,"Home/Apartment/Condominium","Incident, No Injury","Female","My Child","-1",Yes,No,,,No,No,Yes,,"",
20190109-99B93-2147383326,1/9/2019 ,2/19/2019 ,3/14/2019 ,Consumer,"Besse dress up shoe, made by Toy Velt. For ages 3 and older. Plastic dress up heel shoe.","Toys & Children","Toys","Costumes or Masks (1342)",1342,"Amazon.com LLC","Toy Velt",,,,,,"Amazon",,12/10/2018 ,No,"While my 3 year old was wearing a pair of these dress up shoes, one shoe's insole broke into extremely sharp shards of harsh plastic under her bare foot. Thankfully she was not harmed, but it seems to be a hazard. I have saved the shoe, and can provide picture if needed.","Lincoln","Nebraska",68521,"Home/Apartment/Condominium","Incident, No Injury","Female","My Child","3",Yes,No,,,No,No,,"I still have the product.","",
20191029-37115-2147376866,10/29/2019 ,2/4/2020 ,3/12/2020 ,Consumer,"Wooden rattle","Toys & Children","Toys","Toy Vehicles (Excluding Riding Toys) (5021)",5021,"Bannor Toys, LLC","Bannor Toys","Rattle & Roll SUV Wooden Baby Ratttle",,,,,"Bannortoys.com",,,No,"When my son was 8 months old he was playing with his wooden car rattle by Bannor Toys when without any warning the front wheels came apart, exposing the wooden dowel that holds the two wheels together. The wheels are a choking hazard and the wooden dowel can cause serious injury. I immediately reached out to Bannor Toys on their instagram page and then per their request followed up with an email to them and showed them a picture of it and explained my concern about it possibly hurting him. Their first response was to try to avoid taking responsibility by claiming that any vehicles  are only intended for children over the age of 3. But this is a baby rattle specifically  sold in the infant category. The product name on my order invoice was Rattle & Roll SUV Wooden Baby Rattle so there is no way they can honestly say this was a product intended for a 3 year old and at the time of purchase they provided the option to personalize it with the baby's birth date and birth statistics, so his birth date is engraved on the rattle. In their instagram response (see screenshot) they acknowledge that it is a choking hazard for children under 3 but deliberately market it for infants.  To date they continue to sell toys with wheels on the baby section of their website  such as their [REDACTED] in total disregard for child safety.","Round Rock","Texas",78665,"Home/Apartment/Condominium","Incident, No Injury","Male","My Child","-1",,,,,,,,"Manufacturer lied about product being intended for an older child, refused to refund and continues to sell similarly unsafe products. The only option they offered was to repair and send it back","",
20200426-A9F6C-2147372711,4/26/2020 ,5/4/2020 ,5/26/2020 ,Consumer,"Blue Super GO Pogo by Alex Brands. Blue shaft with black handholds. Alex logo on the vertical shaft near feet. Super Go Pogo on the vertical shaft near handholds. UPC 0731346077028","Toys & Children","Toys","Pogo Sticks (1310)",1310,"ALEX BY PANLINE","Alex Toys",,,"0731346077028",,,"Tractor Supply","Tennessee",11/23/2019 ,Yes,"On the evening of Dec 2nd, 2019 my 12-year-old daughter was using an Alex Brands pogo stick she had just bought. She was jumping in a safe and controlled manner on a concrete garage floor at our home when the rubber boot of the pogo stick ripped/broke in a way causing it to not support the pogo stick making it now slippery. This caused the pogo stick to shoot out, slide on the floor from under my daughter causing her to faceplant into the cement causing a broken nose, 3 displaced front teeth, lip laceration, concussion, and fear. She also, almost 5 months later, can still not use her front teeth to eat and is having numerous dental appointments to address the injured teeth. After the incident, emergency care was immediately saught at a [REDACTED] hospital in [REDACTED] Tennessee where X-rays and a CT scan were conducted showing injuries.  Specialty appointments followed and continue to be attended. This was a relatively new product with little use that broke while appropriate use was being conducted. My daughter, a small thin girl, whose weight was not in excess of the recommendation is now dealing with long term medical problems. ","DANDRIDGE","Tennessee",37725,"Home/Apartment/Condominium","Injury - Emergency Department Treatment Received","Female","My Child","12",No,No,,,No,Yes,,"They said they reported it to you and agreed to cover medical expenses but now won't follow up.","",
