Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
"CPSC, The Step2 Company Announce Recall of Toy Drumsticks",5/22/2003 ,"May 22, 2003Release # 03-128 Company Phone Number: (800) 347-8372 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: (301) 504-7908 CPSC, The Step2 Company Announce Recall of Toy Drumsticks WASHINGTON, D.C. - The U.S. Consumer Product Safety Commission announces the following recall in voluntary cooperation with the firm below. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of product: Toy Drumsticks Units: 800Distributor: The Step2 Company, of Streetsboro, OhioHazard: The tip of the drumstick can break off, posing a choking hazard to young children.Incidents/Injuries: CPSC and Step2 are aware of one incident where a child reportedly began to choke on the top of the drumstick. The child's parent performed the Heimlech maneuver to remove the small part.Description: The drumsticks were sold with the Step2 Toddle Tunes Big Band Drum set, models 7135B2 and 7135KR. The drum sets are blue and yellow with music decals attached to the front. The word Step2 is imprinted across the front of the drum set. The yellow and blue drumsticks are about 9-inches long. Sold at: Toy stores and online retailers sold the drum sets nationwide from February 2002 through April 2003 for about $30. Manufactured in: KoreaRemedy: Contact Step2 to receive a replacement set of drumsticks. Consumer Contact: The Step2 Company at (800) 347-8372 between 8 a.m. and 5 p.m. ET Monday through Friday or visit the firm's Web site at www.step2.com.Media Contact: Dotti Foltz at (330) 656-044",03128,https://www.cpsc.gov/Recalls/2003/CPSC-The-Step2-Company-Announce-Recall-of-Toy-Drumsticks-
"Wal-Mart Recalls Plastic Halloween Toy Trumpets",10/29/1991 ,"OCTOBER 29, 1991 Release # 92-013 WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Wal-Mart Stores, Inc., Bentonville, AR is voluntarily recalling approximately 30,000 Halloween Trumpet sets, model number 9353-228 because the trumpet's mouth piece can easily detach causing a fatal choking hazard to young children. These five-inch long black and orange Halloween Trumpets come in sets of 15 in a clear cellophane bag with a cardboard header that reads in part, Halloween 15 Party Favors. These trumpets were sold nationwide this Halloween season for approximately $2.00 per set. To date, neither the CPSC nor the company is aware of any injuries involving this product. This voluntary recall is being conducted to prevent the possibility of injury during this Halloween season. These potentially hazardous trumpets were identified during a special Halloween inspection program conducted by the CPSC. Consumers are urged not to give these trumpets to young children during this Halloween season and immediately take them away from young children who already have them. Consumers should return them to the store where purchased for a refund of the purchase price. Consumers with questions about this recall may contact Wal-Mart at (501) 273-4000. The U.S. Consumer Product Safety Commission is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's mission is to reduce the estimated 28.5 million injuries and 21,600 deaths associated each year with the 15,000 different types of consumer products under CPSC's jurisdiction",92013,https://www.cpsc.gov/Recalls/1992/Wal-Mart-Recalls-Plastic-Halloween-Toy-Trumpets
"Toy Drums Recalled by The Boyds Collection Ltd. Due to Lead Poisoning Hazard",5/30/2007 ,"The recalled decorative toy drums are made of wood and come with two wooden drum sticks. The sides of the drums are painted blue with white stars and the tops and bottoms feature an antique U.S. flag decoration. The Eli's Small Drum measures 4 ¾ inches in diameter and 3 ½ inches tall. The Liberty's Large Drum measures 6 ¾ inches in diameter and 4 inches tall. The Eli's Small Drum has item number 654933 printed on its hangtag and packaging. The Liberty's Large Drum has item number 654934 printed on its hangtag and packaging. The drums are packaged and sold separately.",07196,https://www.cpsc.gov/Recalls/2007/Toy-Drums-Recalled-by-The-Boyds-Collection-Ltd-Due-to-Lead-Poisoning-Hazard
"Replacement Program For Sesame Street Rhythm Band Set",7/11/1990 ,"July 11, 1990 Release # 90-128 Replacement Program For Sesame Street Rhythm Band Set WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), LEWCO Corp., New York, NY, has announced a replacement program for the Oscar the Grouch Cymbals contained in its Model #3553, Sesame Street Rhythm Band Set. When tested in accordance with the CPSC's Small Parts Requirements, the Oscar the Grouch heads detached from the cymbals and could present a choking hazard to young children. LEWCO Corp. is offering to replace the cymbals with new cymbals that have been redesigned to eliminate the small parts hazard. Approximately 9,200 units were sold nationwide from January 1, 1989 to April 16, 1990 for approximately $20.00 each. The toys were imported from China. The set consists of a Sesame Street marching drum and drum sticks, Bert and Ernie maracas, Little Bird slide whistle, Cookie Monster tambourine and Oscar the Grouch cymbals. Embossed on the inside of the drum and tambourine are the words Blue Box Toys, Made in China, Muppets, Inc. Embossed on the handles of the maracas are the words Made in China, Muppets, Inc. The cymbals are the only part of this musical instrument set subject to this replacement program. Consumers are urged to discard the original cymbals immediately. Neither the CPSC nor the company is aware of any injuries involving this product. This voluntary replacement is being conducted to prevent the possibility of injury. Consumers who desire a cymbal replacement set should contact LEWCO Corp. at:LEWCO Corp.1107 Broadway - Suite 905New York, New York 1001",90128,https://www.cpsc.gov/Recalls/1990/Replacement-Program-For-Sesame-Street-Rhythm-Band-Set
"IKEA Recalls Toy Drums and Drumstick Sets Due to Choking Hazard",1/14/2016 ,"The recall includes LATTJO Tongue Drum and LATTJO Drumstick set. The LATTJO Tongue Drum is a solid birch rectangular-shaped drum with a turquoise-dot print on the front and two solid red circles on top. The drum measures about 8 inches long by 2-3/4 inches wide by 2-3/4 inches deep. The drum comes with a seven-inch mallet with a turquoise painted handle and black rubber ball on the end. IKEA and LATTJO are printed on a label on the bottom of the drum. The LATTJO Drumstick set includes two solid birch drumsticks, two brushes and two mallet-type drumsticks with black rubber balls on the ends. The set was sold in a turquoise polyester roll-up pouch with a red and white striped fabric panel in the center. The pouch measures about 15 inches long by 10 inches wide. IKEA and LATTJO was printed on a label attached to the pouch.",16075,https://www.cpsc.gov/Recalls/2016/IKEA-Recalls-Toy-Drums-and-Drumstick-Sets
"CPSC, Battat Incorporated Announce Recall of Drumsticks Sold with Toy Drum Sets",4/17/2003 ,"The centipede-shaped drumsticks were sold with the Parents Bee Bop Band drum set. They're about 10 inches long and were sold in either lime green or blue with black stripes. Model numbers involved in this recall are PM9137T2 and PM91372. The model numbers can be found above the UPC code on the packaging. Drum sets sold with a sticker that reads, NEW 2003 is not subject to the recall.",03110,https://www.cpsc.gov/Recalls/2003/CPSC-Battat-Incorporated-Announce-Recall-of-Drumsticks-Sold-with-Toy-Drum-Sets-
"McDonald's Recalls Hello Kitty Themed Whistles Due to Choking and Aspiration Hazards",11/10/2014 ,"The recalled whistles are red and were included in a plastic Hello Kitty figurine holding a pink heart-shaped lollipop. The whistle can be removed and used to make sounds by inhaling or exhaling through the mouthpiece. When closed, the figurine measures about 3 inches in height and width and 1 3/4 inches in depth. The whistle measures about 1 3/4 inches in height and width and 3/4 inches in depth. A picture of Hello Kitty appears on both sides of the whistle. The text ©1976, 2014 SANRIO CO., LTD. appears above Hello Kitty's face on the whistle, and Made for McDonald's China CCW Chine appears below Hello Kitty's face on the whistle. The bag in which the toy is packaged includes the text Hello Kitty® Birthday Lollipop and the number 6 in the upper right corner.",15021,https://www.cpsc.gov/Recalls/2015/McDonalds-Recalls-Hello-Kitty-Themed-Whistles
"Discount School Supply Recalls Double Egg Shakers Due to Violation of Lead Paint Standard",4/28/2010 ,"This recall involves egg shakers sold in packages of two. The words Double Eggs and Breeded to produce great sound are printed on the front of the package. Only the red eggs are subject to the violation of the lead paint standard.",10731,https://www.cpsc.gov/Recalls/2010/Discount-School-Supply-Recalls-Double-Egg-Shakers-Due-to-Violation-of-Lead-Paint-Standard
"Chuck E. Cheese Tambourine Recalled by Dennis Foland Merchandising",1/23/1990 ,"Chuck E. Cheese Tambourine Recalled by Dennis Foland Merchandising NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Firm phone number has changed FOR IMMEDIATE RELEASE CONTACT: Originally issued January 23, 1990; Revised September 10, 2001 (301) 504-7908 Release # 90-031 Dennis Foland Inc. Merchandising Service Recalls Chuck E. Cheese Tambourine WASHINGTON, DC -- The Dennis Foland Inc. Merchandising Service of Campbell, California, is recalling approximately 21,000 Chuck E. Cheese tambourines because of sharp points and small parts. The tambourines being recalled are orange and white with a red, black, yellow and gray picture of Chuck E. Cheese on the top surface and cymbals attached to the side of the tambourine with wire. When the U. S. Consumer Product Safety Commission (CPSC) tested the tambourines in accordance with the regulations under the Federal Hazardous Substances Act, the plastic tambourine broke and the wire holding the metal cymbals to the side of the tambourine broke off. The cymbals could present a choking hazard and the wire parts could cause puncture or laceration injuries. Since 1987 these tambourines were sold nationwide through Chuck E. Cheese and Showbiz Pizza Restaurants for approximately $1.50 each. To date neither the CPSC nor Dennis Foland Inc. Merchandising Service is aware of any injuries involving the tambourine. This voluntary recall is being conducted to prevent any possibility of injury. These potentially hazardous toys were identified during a joint CPSC/U.S. Customs Service surveillance program conducted at the Port of San Francisco, California. Consumers having these Chuck E. Cheese tambourines should take them away from children and return them to the Chuck E. Cheese or Showbiz Pizza Restaurant where purchased for a full refund. Consumers who have any questions about the recall should call Dennis Foland Inc. at (909) 930-9900.",90031,https://www.cpsc.gov/Recalls/1990/Dennis-Foland-Inc-Merchandising-Service-Recalls-Chuck-E-Cheese-Tambourine
"West Music Recalls Shaker Guiro Instruments Due to Violation of Lead Paint Standard",5/22/2008 ,"The recalled shaker guiro is a ridged, cylinder-shaped percussion instrument that contains beads and is played by scraping a stick along the surface. The shaker guiro measures about 2 wide x 5 long. One end of the instrument is painted red and the other end is painted blue. The center section and stick are natural wood. Basic Beat 5 Guiro/Shaker, SHBB5, and Recommended for Ages 6+ are printed on the packaging.",08280,https://www.cpsc.gov/Recalls/2008/West-Music-Recalls-Shaker-Guiro-Instruments-Due-to-Violation-of-Lead-Paint-Standard
"Cage Bell Musical Instruments for Babies Recalled for Choking Hazard",8/17/2006 ,"The musical instrument is a wooden cylinder with end caps and wooden dowels connecting the caps. A single bell is in the middle. Model number 5-30-00740 is sold individually; Model number 0-06-09005 is sold as part of a kit called Busy Days Home, which also contains a board book, a compact disc and a poster. The model number is written on the outside packaging of the product.",06574,https://www.cpsc.gov/Recalls/2006/Cage-Bell-Musical-Instruments-for-Babies-Recalled-for-Choking-Hazard
"KHS America Recalls Children's Musical Instrument Due to Violation of Lead Paint Standard",2/4/2016 ,"The Green Tones 8-note Monkey Glockenspiel is a children's musical instrument with eight metal bars in multiple colors mounted on a wooden base shaped like a monkey. The bars are individually attached to the base with one screw at each end. The second bar from the top is pink, 3.5 inches long and has a B stamped on it. This is the bar that needs to be replaced. The Green Tones logo is stamped on the back of the glockenspiel and the tracking number HS0178410914 is printed in black at the bottom.",16094,https://www.cpsc.gov/Recalls/2016/KHS-America-Recalls-Childrens-Musical-Instrument
"CPSC, Kindermusik International Announce Recall of Lily Pad Clacker Instruments",1/14/2004 ,"The Lily Pad Clackers are wooden rhythm instruments designed for use with the Frog Went A-Dancing kit sold by Do-Re-Me & You!, a Kindermusik affiliate. The recalled instrument is 5.25 inches long, and is made of wood. It has two green lily pads that are connected to the base by a string. The Clackers were sold as part of a music kit.",04531,https://www.cpsc.gov/Recalls/2004/CPSC-Kindermusik-International-Announce-Recall-of-Lily-Pad-Clacker-Instruments
