Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
"Activity Center Recalled",3/28/1990 ,"CONTACT: MARCH 28, 1990 (301) 504-7908 Release # 90-059 Activity Center Recalled WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Battat Incorporated, Plattsburgh, New York is voluntarily recalling an infant/toddler Activity Center, item BK-06. The spinner at the top of the activity center was not properly glued and may separate releasing small noisemaker beads that may pose a choking hazard to children under three years old. The multi-colored Activity Center consists of three rows of toys/activities and has KAWADA Made in Japan embossed on the bottom. Near the base is a metal rod holding five brightly colored beads. The middle row consists of a dog-face squeaker, a clicking lever, a rolling drum with lots of pictures with a chime, and a bell. The top row has a single plastic rod with a gear-shaped plastic spinner. This spinner may separate releasing small noisemaker beads that may pose a choking hazard. New production units identified with 1A engraved on the bottom of the toy are properly glued and are not being recalled. Approximately 4,463 improperly glued Activity Centers have been distributed nationally since October 1988. The CPSC learned of this problem from a consumer complaint involving a seven-month-old child. Neither CPSC nor Battat, Inc. is aware of any injuries associated with this toy. Consumers should immediately take this toy away from young children and return it to the store where purchased or send it to Battat, Inc., P.O. Box 1264, Plattsburgh, N.Y. 12901 for a full refund including postage",90059,https://www.cpsc.gov/Recalls/1990/Activity-Center-Recalled
"CPSC, Wal-Mart Stores and Infantino Announce Recall of Fun Frog Soft Gyms",6/15/2005 ,"The recalled Baby Connection Fun Frog Soft Gym is comprised of a multi-colored, frog-shaped padded fabric mat, from which blue and orange support arms extend. The support arms consist of thin steel wire covered by foam and fabric. They can be arched, allowing for three stuffed infant toys to hang above the product's mat. A label with the word Infantino is attached to each of the stuffed toys as well as the underside of the mat. Products sold under item 150-761, Infantino Activity Soft Gym, which have a stamp on the back of the product showing 150-761 Production Date June 2005, are not affected by this recall.",05197,https://www.cpsc.gov/Recalls/2005/CPSC-Wal-Mart-Stores-and-Infantino-Announce-Recall-of-Fun-Frog-Soft-Gyms
"Infantino Recalls Children's Toy Castles Due to Choking Hazard",7/3/2007 ,"The recalled toy castles have counting beads, four play figures and several different shapes and letters that fit into holes in the castle. infantino® is printed in the lower right-hand corner of the side with the letters. The recall only includes castles with the following date codes: 5349, 6087, 6132 and 0906. Castles with other date codes, no date code or with a plastic rod attached with a metal screw are not included in this recall. The date code is stamped on the underside of the blue top and can be viewed through the top square shape or top A letter openings.",07230,https://www.cpsc.gov/Recalls/2007/Infantino-Recalls-Childrens-Toy-Castles-Due-to-Choking-Hazard
"AAFES Recalls Soldier Bear Toy Sets Due to Lead Poisoning Hazard",5/23/2007 ,"This recall involves toy sets with multiple action figures and vehicles. The model number (88931), Universal Product Code (6 98567 88931 4) and Soldier Bear logo are printed on the product's packaging. The backs of the action figures are marked with letters TC-ST.",07193,https://www.cpsc.gov/Recalls/2007/AAFES-Recalls-Soldier-Bear-Toy-Sets-Due-to-Lead-Poisoning-Hazard
"Disney Store Recalls Toy Tool Sets Due to Choking Hazard",2/12/2009 ,"The recalled Playhouse Disney Handy Manny Tool Set is a plastic, eight-piece toy set that includes a tool box, hammer, saw, pliers, wrench, tape measure and two screwdrivers. The name Handy Manny is embossed on one side of the tool box. The UPC (#405144100614 or #422147400633) can be located on the product's packaging.",09128,https://www.cpsc.gov/Recalls/2009/Disney-Store-Recalls-Toy-Tool-Sets-Due-to-Choking-Hazard
"Mattel Recalls Barbie and Tanner™ Magnetic Toys Due to Magnets Coming Loose",8/14/2007 ,"The recall involves Barbie and Tanner™ play sets -- model numbers J9472 and J9560. The toys include a scooper accessory with a magnetic end. Recalled scoopers have a visible, silver-colored, disc-shaped magnet on the end of the scooper. Scoopers with a white material covering the magnet and products manufactured after January 31, 2007 are not recalled.",07271,https://www.cpsc.gov/Recalls/2007/Mattel-Recalls-Barbie-and-Tanner-Magnetic-Toys-Due-to-Magnets-Coming-Loose
"Unitrade Marketing Group Recalls Peg Pounder",7/22/1991 ,"July 22, 1991 Release # 91-095 Unitrade Marketing Group Recalls Peg Pounder WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Unitrade Marketing of New York, NY is voluntarily recalling approximately 12,800 Peg Pounder sets, model number 8839 because the toy comes with small plastic nuts that CPSC has determined could be a fatal choking hazard to young children. The all-plastic Peg Pounder comes with a red workbench and eight shape sorting slots which hold four yellow and four blue shape sorting pieces. The set comes with a yellow or blue hammer and a yellow or blue wrench to assemble and disassemble the workbench. The Peg Pounder was sold nationwide from September 1989 to November 1989 for approximately $1.99. The State of Kentucky discovered this unsafe toy during a retail survey and notified the CPSC. The toy's box reads in part: Peg Pounder, BACO, Made in Yugoslavia for New Brite Consumer Products Ltd., Royton, Lancs, England. Neither the CPSC nor the company is aware of any injuries involving this toy. This voluntary recall is being conducted to prevent the possibility of injury. Consumers are urged to take the Peg Pounder away from young children immediately and return it to the store where purchased for a refund of the purchase price. Consumers with questions about this recall may contact Unitrade at (212) 366-1400. The CPSC's mission is to protect the public from unreasonable risks of injury and death associated with consumer products. The CPSC is the Federal agency responsible for consumer product safety. Some 15,000 different types of consumer products fall within the Commission's jurisdiction and each year these products are involved in an estimated 28.5 million injuries and 21,600 deaths",91095,https://www.cpsc.gov/Recalls/1991/Unitrade-Marketing-Group-Recalls-Peg-Pounder
"Target Recalls Activity Cart Toys Due to Choking Hazard",4/4/2007 ,"The recall involves Little Tree wooden activity cart toys. This is a multi-colored cart with an orange seat and a wooden tray. The cart has apple trees, a blue fence, and red, blue and green flowers painted on one side. The cart also has a wooden sheep, dog and horse affixed to that same side. The other side of the cart contains a board with multi-colored wooden magnets.",07148,https://www.cpsc.gov/Recalls/2007/Target-Recalls-Activity-Cart-Toys-Due-to-Choking-Hazard
"CPSC And Dakin Inc. Urge Consumers To Remove Small Pom Poms",5/26/1995 ,"May 26, 1995 Release # 95-124 WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Dakin Inc. of Woodland Hills, Calif., is warning consumers that the pom poms on approximately 66,500 of their Big Top Playmates toys can detach, posing a choking or aspiration hazard.CPSC is aware of ten incidents in which pom poms separated from the toys or children under one year old ate pieces of the pom poms or placed the pom poms in their mouths. No injuries were reported and no medical attention was required.The Big Top Playmates series features a variety of products based on circus animals. This corrective action affects bear, bunny and elephant soft fabric dolls (item no. 40319), bottle hugging dolls (item no. 40321), finger puppets (item no. 40320), crib attachments (item no. 40335), dolls attached to the musical mobile (item no. 40324), and ring shaped rattles with soft plush animal head and feet (item no. 40325). The products are decorated with pink, yellow and blue trim with small pom poms that measure .5 inches.The products' hang tags include the item number and product name and reads in part, THE FRASER COLLECTION, DAKIN, INC. San Francisco, CA, Product of China.Dakin Inc. distributed 66,500 Big Top Playmates products nationwide from February 1994 through April 1995. The products sell for $5.00 to $15.00 ($50.00 for the mobile) in approximately 3,800 specialty, toy and department stores.Consumers are urged to immediately cut the pom poms from the products and discard them. Consumers who have questions about this corrective action may contact Dakin Inc. toll- free at (800)227-6598 from 9:30 a.m. to 6 p.m. PST.Big Top Playmates products currently on store shelves are being modified and should not have pom pom trim",95124,https://www.cpsc.gov/Recalls/1995/CPSC-And-Dakin-Inc-Urge-Consumers-To-Remove-Small-Pom-Poms
"Battat Recalls Additional Magnetic Construction Sets; Ingested Magnets Pose Aspiration and Intestinal Hazards",3/13/2008 ,"This recall involves the 108-piece (item number BB1439H) and the 68-piece (item number BAT-34) Magnabild Magnetic Building System sets. The 108-piece set comes in a rotating display case containing sixty 1-inch rods with magnets and 48 metal balls. The 68-piece set comes in a window box and contains forty-four 1-inch rods with magnets and 24 metal balls. The rods come in different colors. All of the plastic building pieces have the word Magnabild in raised lettering on them. BB1439H is found on a hang tag attached to the display case. BAT-34 is found on the box. The products are designed for children older than three years.",08221,https://www.cpsc.gov/Recalls/2008/Battat-Recalls-Additional-Magnetic-Construction-Sets-Ingested-Magnets-Pose-Aspiration-and-Intestinal-Hazards
"Manhattan Group Recalls Parents Wooden Activity Toys Due to Choking Hazard",3/3/2011 ,"The Parents® Busy Time Activity Centers™ is a wooden activity center cube-shaped toy that has a multi-colored bead run on the top. Activities on each side include a 4-tone xylophone and rasp, butterfly and caterpillar spinners, zig-zag drum, castanets, and pockets with alligator, bear, and cat pillow characters. Only items with wooden pegs bearing date code 400090GC are involved in this recall. The date code can be found on the bottom of the product packaging near the UPC code and on the tags on the bear character.",11156,https://www.cpsc.gov/Recalls/2011/Manhattan-Group-Recalls-Parents-Wooden-Activity-Toys-Due-to-Choking-Hazard
"Graco Children's Products Recalls to Replace Soft Blocks Towers on Activity Centers Due to Choking Hazard",5/2/2007 ,"The soft block tower is a stack of three different shaped stuffed fabric blocks in red, yellow and blue. Pictures of apples, fire engines, ducks, bananas, birds and blueberries on the blocks are covered in plastic film. The soft blocks are one of nine toys that snap onto the tray of the activity center. Only model number 4635BEE with serial numbers 012705 through 063005, which indicates the manufacture dates of January 27, 2005 through June 30, 2005, are included in this recall. Model and serial numbers are located underneath the activity center's tray.",07176,https://www.cpsc.gov/Recalls/2007/Graco-Childrens-Products-Recalls-to-Replace-Soft-Blocks-Towers-on-Activity-Centers-Due-to-Choking-Hazard
"McDonald's and CPSC Announce Exchange for LEGO Building Set Toys Because of Choking Hazard",11/10/1986 ,"November 10, 1986 Release # 86-069 McDonald's and CPSC Announce Exchange for LEGO Building Set Toys Because of Choking Hazard WASHINGTON, DC -- McDonald's and the U.S. Consumer Product Safety Commission today asked customers with children younger than three who received LEGO Building Sets at McDonald's Restaurants between October 31 and November 7 to exchange them for DUPLO Building Sets designed by the LEGO Company for children under three. LEGO Building Sets have been safety tested and meet all mandatory and voluntary toy regulations. However, these sets contain small parts which could present a hazard if given to children younger than three. No incidents have been reported with any building sets distributed at McDonald's during this time. McDonald's is running a four week promotion of LEGO Building Sets for children three and older, and PDPLO Building Sets without small parts for children younger than three. During the first week of promotion, some McDonald's may not have had available DUPLO Building Sets for children under three. The LEGO Building Set package have solid colored borders and a warning on the front panel that the building sets contain small parts and are not intended for children younger than three. DUPLO Building Sets have a dotted border. Consumers who want to obtain further information may call McDonald's Customer Relations Department at (312) 575- 6198 or CPSC toll free hotline at 800-638-CPSC. The CPSC teletypewriter number for the hearing impaired is (301) 595-7054",86069,https://www.cpsc.gov/Recalls/1987/McDonalds-and-CPSC-Announce-Exchange-for-LEGO-Building-Set-Toys-Because-of-Choking-Hazard-
"Mattel Recalls Doggie Day Care™ Magnetic Toys Due to Magnets Coming Loose",8/14/2007 ,"The recalled Doggie Day Care play sets have various figures and accessories that contain small magnets. Product # Name H1532 Doggie Day Care Coco H1533 Doggie Day Care Sparley G4461 Doggie Day Care Lula and Baby G4462 Doggie Day Care Crockett and Baby G4464 Doggie Day Care Taffy and Baby G4459 Doggie Day Care Snack Time with Cookie G4460 Doggie Day Care Diaper Change with Ginger H1530 Doggie Day Care Ice Cream with Ranger G9703 Doggie Day Care Puppy Park with Dixie G4457 Doggie Day Care Dream House Nursery with Honey G4458 Doggie Day Care Bath Time with Beau",07272,https://www.cpsc.gov/Recalls/2007/Mattel-Recalls-Doggie-Day-Care-Magnetic-Toys-Due-to-Magnets-Coming-Loose
"DDI Inc. Recalls Toy Construction Play Sets Due to Violation of Lead Paint Standard",1/29/2009 ,"The recall involves the 136-piece Mega Construction Play Set (item# 911346) and includes various construction equipment, vehicles, buildings and roads. The play sets are packaged in a black and yellow box with the word Builder printed in the upper left hand corner of the package.",09113,https://www.cpsc.gov/Recalls/2009/DDI-Inc-Recalls-Toy-Construction-Play-Sets-Due-to-Violation-of-Lead-Paint-Standard
"Serious Injuries Prompt Recall of Mattel's Polly Pocket Magnetic Play Sets",11/21/2006 ,"The recalled Polly Pocket play sets contain plastic dolls and accessories that have small magnets. The magnets measure 1/8 inch in diameter and are imbedded in the hands and feet of some dolls, and in the plastic clothing, hair pieces and other accessories to help the pieces attach to the doll or to the doll's house. The model number is printed on the bottom of the largest pieces on some of the play sets. Contact Mattel if you cannot find a model number on your product to determine if it is part of the recall. Polly Pocket magnetic play sets currently on store shelves are not included in this recall. Polly Pocket Magnetic Play Sets Item Number Polly Pocket!™ Polly Place™ Hangin' Out House™ B2632 Polly Pocket!™ Polly Place™ Treetop Clubhouse™ B3158 Polly Pocket!™ Spa Day™ B3201 Polly Totally!™ Polly Place™ Totally Tiki Diner™ B7118 Polly Pocket!™ Quik-Clik™ Boutique G8605 Polly Pocket!™ Quik-Clik™ City Pretty Playset H1537 Polly Pocket!™ Quik-Clik™ Sporty Style Playset H1538 Polly Pocket!™ Totally Zen™ Playset H3211",07039,https://www.cpsc.gov/Recalls/2007/Serious-Injuries-Prompt-Recall-of-Mattels-Polly-Pocket-Magnetic-Play-Sets
"Lands' End Recall of Soft Farm Set",5/31/2002 ,"Lands' End Recall of Soft Farm Set Recall Alert U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 May 31, 2002 Alert #02-544 CPSC, Lands' End, Inc. Announce Recall of Soft Farm Set PRODUCT: Soft Farm Set - Lands' End, Inc. of Dodgeville, Wis., is voluntarily recalling about 600 Soft Farm Sets, style number 76626. The recalled set is a polyester/cotton barn with polyester/cotton farm animals and accessories: chicken with legs, duck with legs, dog, pig, cow, horse, 2 fences, a bale of hay and a pond. Lands' End Inc. catalog and web site sold these sets nationwide from January 2002 to April 2002 for about $34. PROBLEM: The legs of the chicken and duck figures may detach, posing a risk of choking. INCIDENTS/INJURIES: Lands' End has received one report of detached legs. No injuries have been reported. WHAT TO DO: Consumers should stop using the toy immediately and either remove the legs from the chicken and duck figures or contact Lands' End to receive a full refund. For more information, call Lands' End, Inc. at (800) 613-2824 or visit the web site www.landsend.com Purchasers were sent direct mail notification of this recall.",02544,https://www.cpsc.gov/Recalls/2002/CPSC-Lands-End-Inc-Announce-Recall-of-Soft-Farm-Set
"Fisher-Price Recalls Little People Play 'n Go Campsite™ Due to Choking Hazard",8/5/2010 ,"This recall involves the Little People Play 'n Go Campsite. The seven-piece plastic play set includes Sonya Lee, a tent and other accessories. Product number R6935 is printed on the toy's packaging. The name Sonya Lee is printed on the underside of the figure. Only Sonya Lee figures that bend at the waist, have a green sweater and purple camera around the neck are included in this recall. No other Sonya Lee figure is affected. The remaining pieces of the Little People Play 'n Go Campsite are not affected.",10313,https://www.cpsc.gov/Recalls/2010/Fisher-Price-Recalls-Little-People-Play-n-Go-Campsite-Due-to-Choking-Hazard
"XL Machine Ltd. Recalls Dollhouse Furniture Sets",8/20/2001 ,"XL Machine Ltd. Recalls Dollhouse Furniture Sets NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE August 20, 2001 Release # 01-219 XL Machine Ltd. Recall Hotline: (866) 746-8097 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, XL Machine Ltd. Announce Recall of Dollhouse Furniture Sets Sold at Target Stores WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), XL Machine Ltd., of Eden Prairie, Minn., is voluntarily recalling about 10,000 sets of dollhouse bathroom furniture. The yellow paint on the furniture contains lead, which can present a risk of lead poisoning to young children. CPSC and XL Machine Ltd. have not received reports of any injuries relating to these dollhouse furniture sets. This recall is being conducted to prevent the possibility of injury. The Little Tree natural wood dollhouse bathroom furniture sets contain a tub, sink with mirror, toilet, shower, bench, towel rack and a wooden doll. The doll has hair made of yarn and bendable wire legs and arms. The fixtures on the bathroom furniture are painted yellow. The packaging for the set reads Little Tree, Distributed by Target Corporation, and MADE IN CHINA. Target stores nationwide sold these furniture sets from August 2000 through June 2001 for about $15. Consumers should immediately take these dollhouse furniture sets away from children, and return the sets to the Target store where purchased for a refund. For more information, call XL Machine Ltd. at (866) 746-8097 between 9 a.m. and 5 p.m. CT Monday through Friday, or visit Target's web site at www.target.com.",01219,https://www.cpsc.gov/Recalls/2001/CPSC-XL-Machine-Ltd-Announce-Recall-of-Dollhouse-Furniture-Sets-Sold-at-Target-Stores
"Doll Feeding Sets Recalled by Dollar Tree",7/12/2000 ,"Doll Feeding Sets Recalled by Dollar Tree NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE July 12, 2000 Release # 00-143 Dollar Tree Stores Recall Hotline: (800) 876-8077 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, Dollar Tree Stores Inc. Announce Recall of Doll Feeding Sets WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Dollar Tree Stores Inc., of Chesapeake, Va., is recalling about 700,000 doll feeding sets. The doll bib in the set has snaps that detach, presenting a choking hazard to young children. CPSC and Dollar Tree Stores Inc. are not aware of any injuries involving these bibs. This recall is being conducted to prevent the possibility of injuries. The recalled doll feeding set consists of a bib with pink and blue baby cupids, a plastic baby food jar with pink top and a label reading Love My Baby Baby Food, baby bottle, two-handle pink cup, and a small blue container. Writing on the packaging reads Love My Baby Doll Care Feeding Set. On the back right-hand corner of the package is SKU number 563239. The set was sold in a box labeled for children ages 4 years and over. Dollar Tree Stores nationwide sold the doll feeding sets during December 1999 for about $1.00. Consumers should take this recalled toy away from young children immediately and return it to any Dollar Tree Store for a refund. For additional information, call Dollar Tree Stores at (800) 876-8077 between 9 a.m. and 5 p.m. EDT Monday through Friday. The State of Connecticut, Department of Consumer Protection brought this matter to CPSC's attention.",00143,https://www.cpsc.gov/Recalls/2000/CPSC-Dollar-Tree-Stores-Inc-Announce-Recall-of-Doll-Feeding-Sets
"Child's Death Prompts Replacement Program of Magnetic Building Sets",3/31/2006 ,"All Magnetix magnetic building sets, including the X-treme Combo, Micro, and Extreme sets. The sets contain 20 to 200 plastic building pieces and 20 to 100 1/2-inch diameter steel balls. The building pieces are red, yellow, blue and green, and are shaped in 1 1/2-inch squares, 1-inch triangles and cylinder rods. Some plastic building pieces have Magnetix imprinted on them.",06127,https://www.cpsc.gov/Recalls/2006/Childs-Death-Prompts-Replacement-Program-of-Magnetic-Building-Sets
"LeapFrog Recalls to Repair Children's Activity Centers Due to Arm Entrapment Hazard",9/7/2006 ,"The Learn-Around Playground is a multi-colored, plastic musical activity center for young children ages 6 to 36 months. It includes a Slide and Sing alphabet panel and a ball drop on the left side, a Number Rock musical keyboard in the center, and a Flying Rhymes airplane, pop-up LittleLeap, and smart book on the right side. Leap Frog Baby is printed on the activity center. Item number 10200 is written underneath the activity table below Made in China.",06253,https://www.cpsc.gov/Recalls/2006/LeapFrog-Recalls-to-Repair-Childrens-Activity-Centers-Due-to-Arm-Entrapment-Hazard
"Children's Play Tables Recalled by Shelcore",7/21/2000 ,"Children's Play Tables Recalled by Shelcore NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE July 21, 2000 Release # 00-148 Shelcore Recall Hotline: (800) 777-0453 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact:Kim Dulic, (301) 504-7058 CPSC, Shelcore Inc. Announce Recall Children's Play Tables to Replace Mallets WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Shelcore Inc., of Somerset, N.J., is voluntarily recalling about 124,000 Stand-Up 'N Play Tables to replace the xylophone mallets. The mallet that comes as part of this table set can be lodged into the throats of young children, posing a choking hazard. Shelcore received a report of the mallet being jammed into the throat of a 13-month old boy after he fell while teething on the ball end of the mallet. Lacerations in the throat resulted when an adult had to forcibly remove the mallet to prevent choking. The Stand-Up 'N Play Table measures 14 inches long, 14 inches wide and 13 inches high. The multi-colored play table includes a telephone, clicking dial, spinner, push-button squeaker, rolling ball, spinning gears, xylophone and mallet, three colorful shapes, and a shape sorter. The tray of the table is white, and the legs are red with yellow caps at the base. Writing on the box reads, Ages 9-36 Months, and Encourages Child to Pull-Up and Stand. Toy stores nationwide sold these play tables from March 1996 through March 1999 for between $18 and $20. Consumers should immediately throw the recalled mallets in the trash, and call Shelcore for a free replacement mallet. For more information, call Shelcore at (800) 777-0453 between 9 a.m. and 5 p.m. ET Monday through Friday, or write to Shelcore Inc., 347 Elizabeth Ave., Somerset, NJ 08873-1101. Consumers can also view a video clip about this recall (transcript). This is in streaming video format.",00148,https://www.cpsc.gov/Recalls/2000/CPSC-Shelcore-Inc-Announce-Recall-Childrens-Play-Tables-to-Replace-Mallets
"Inflatable Playrings for Babies Recalled by KinderkidsTM",8/29/2000 ,"Inflatable Playrings for Babies Recalled by Kinderkids TM NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued August 29, 2000, Revised April 16, 2004 Release # 00-172 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 Note: Firm is out of business and a refund is no longer available. Do not use these products. Please discard or destroy these products. CPSC, Kinderkids TM Announce Recall of Inflatable Playrings for Babies WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Kinderkids TM, of Lawrence, Kan., voluntarily recalled about 18,000 inflatable playrings. Babies sit inside the playring, which is used as an activity center and looks like a pool float. When a baby leans his face against the side of the playring, the soft surface covers the baby's nose and mouth, restricting airflow, and posing the risk of suffocation. CPSC has received one report of a 6-month old baby found gasping for air after falling asleep face down in the playring. The baby was removed from the playring without injury. CPSC is aware of infant suffocation deaths when their airflow is restricted from contact with soft surfaces. The recalled playring, which measures 40 inches in diameter, has a yellow, plastic, inflatable, inner tube with a multicolor cloth covering. The cloth covering features eight activities for babies, including a boat rattle, a mirror flower, a soft teether on a puppy's collar, a butterfly, and a squeak ball and fish. A tag on the bottom of the cloth covering reads Warning! and Recommended for children 6 to 18 months. The packaging reads, Discovery Playring, MADE IN CHINA and Not to be used in water. They are sold with plastic foot pumps for inflating the playrings. Walmart stores, and One Step Ahead, a mail-order company, sold the playrings from July 1998 though April 2000 for between $20 and $35. Consumers should stop using the playrings immediately and discard or destroy these products. The firm is out of business and cannot be contacted, and a refund is no longer available.",00172,https://www.cpsc.gov/Recalls/2000/CPSC-KinderkidsTM-Announce-Recall-of-Inflatable-Playrings-for-Babies
"Stroller Activity Bars Recalled by International Playthings Due to Choking Hazard",8/26/2008 ,"This recall involves the Taggies™ Strollin' Along stroller activity bars. The multicolored, fabric, and plastic activity bars feature a yellow giraffe, a purple hippo and a blue elephant attached to a 12 long elliptical base with straps that attach to a stroller. The Taggies™ and Earlyears® logos are located on woven and satin labels sewn into the seam on the lower left front of the activity bar.",08373,https://www.cpsc.gov/Recalls/2008/Stroller-Activity-Bars-Recalled-by-International-Playthings-Due-to-Choking-Hazard
"JA-RU Offers To Replace Parts Of Play To Learn Furniture Set",12/14/1989 ,"December 14, 1989 Release # 90-023 JA-RU Offers To Replace Parts Of Play To Learn Furniture Set WASHINGTON, D.C.--In cooperation with the U.S. Consumer Product Safety Commission (CPSC), JA-RU, Inc., Jacksonville, Florida has announced a replacement program for its Play to Learn furniture set Model No. 1411. Three components of the set violate CPSC's small parts regulation. The Play To Learn Furniture Set consists of two play figures and several furniture components made of plastic. JA-RU, Inc. is offering to replace the plastic lounge chair and two play figures because they are small parts which may present a choking hazard to young children. Neither the company nor CPSC has received any reports of ingestion or injury associated with these components. Approximately 144,000 Play To Learn Furniture Sets, Model No. 1411 were sold nationwide from January 1987 to the present for $1.59 each. Consumers should remove the original plastic lounge chair and the plastic boy and girl figures from their children immediately and request replacements by contacting JA-RU, Inc. at (904) 733-9311 or write: JA-RU INC., 4030 Phillips Highway, Jacksonville, Florida 32207",90023,https://www.cpsc.gov/Recalls/1990/JA-RU-Offers-To-Replace-Parts-Of-Play-To-Learn-Furniture-Set
"Evenflo Recalls Children's Activity Centers Due to Fall Hazard",2/17/2009 ,"The recall involves Evenflo ExerSaucer Triple Fun stationary activity centers made between October 2006 and December 2008. The model number is 6231711. Stage 3 position involves converting the product into an activity table. No other ExerSaucer models use end caps and, therefore, no other models are included in this recall.",09131,https://www.cpsc.gov/Recalls/2009/Evenflo-Recalls-Childrens-Activity-Centers-Due-to-Fall-Hazard
"Serious Intestinal Injury Prompts Kipp Brothers Recall of Mag Stix Magnetic Building Sets",7/5/2007 ,"The recalled Mag Stix sets contain 24 pieces including twelve 1-inch sticks, four 2.25-inch sticks, and eight metal balls. The sticks are yellow, green, blue and rust-colored. Item No. 40330 Made in China and UPC number 7 7704 40330 1 are printed on the packaging.",07231,https://www.cpsc.gov/Recalls/2007/Serious-Intestinal-Injury-Prompts-Kipp-Brothers-Recall-of-Mag-Stix-Magnetic-Building-Sets
"Additional Reports of Magnets Detaching from Polly Pocket Play Sets Prompts Expanded Recall by Mattel",8/14/2007 ,"The recalled Polly Pocket play sets contain plastic dolls and accessories that have small magnets. The magnets measure 1/8 inch in diameter and are embedded in the hands and feet of some dolls, and in the plastic clothing, hairpieces and other accessories to help the pieces attach to the doll or to the doll's house. The model number is printed on the bottom of the largest pieces on some of the play sets. Products manufactured after November 1, 2006 and are currently on store shelves are not included in this recall. Contact Mattel if you cannot find a model number on your product to determine if it is part of the recall.",07273,https://www.cpsc.gov/Recalls/2007/Additional-Reports-of-Magnets-Detaching-from-Polly-Pocket-Play-Sets-Prompts-Expanded-Recall-by-Mattel
"Magnetix Magnetic Building Set Recall Expanded Serious Injuries Continue to be Reported to CPSC",4/19/2007 ,"These magnetic building sets contain up to 250 plastic building pieces and 1/2-inch diameter steel balls. The building pieces include 1 1/2-inch squares, 1-inch triangles, cylinder rods, flexors, connectors, x-tenders, and curves and come in an assortment of colors such as metallic, primary, translucent, and glow in the dark. The recall includes all sets, except newer Magnetix sets sold since March 31, 2006, that are age-labeled 6+ and sets that contain the following caution label: CAUTION: Do not ingest or inhale magnets. Attraction of magnets in the body may cause serious injury and require immediate medical care.",07164,https://www.cpsc.gov/Recalls/2007/Magnetix-Magnetic-Building-Set-Recall-Expanded-Serious-Injuries-Continue-to-be-Reported-to-CPSC
"J.C. Penney Recalls Disney™ Winnie-the-Pooh Play Sets Due to Violation of Lead Paint Standard",10/11/2007 ,"The recalled play set consists of 23 pieces including: either a white or black baby doll and assorted Winnie-the-Pooh themed items such as a diaper bag, blanket, playpen, highchair, swing, stroller, and carrying bags.",08022,https://www.cpsc.gov/Recalls/2008/JC-Penney-Recalls-Disney-Winnie-the-Pooh-Play-Sets-Due-to-Violation-of-Lead-Paint-Standard
