Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
"Wooden Toys Recalled by Earthentree Due To Choking and Strangulation Hazards",7/29/2008 ,"This recall involves a variety of wooden toys including egg shakers (maracas), pull toys, rattles, and trains. The toys are painted glossy red, orange, green, brown, yellow or natural wood.",08347,https://www.cpsc.gov/Recalls/2008/Wooden-Toys-Recalled-by-Earthentree-Due-To-Choking-and-Strangulation-Hazards
"CPSC, Schylling Associates Inc. Announce Recall of Jack-In-the-Box-Type Toys",11/18/2003 ,"These multicolor tin Jack-In-the-Box-type toys have illustrations of bears in various activities on the sides. Each side features the enlarged single letters of the word BEAR and BEAR is written on the top of the toy. Other writing on the sides includes, Bears in a Boat, Bears Eating Eggs, Bears in the Air, and Bears Racing Rabbits. When the crank is turned, the song, Pop Goes the Weasel plays, and a toy teddy bear pops up out of the top of the box. Schylling is written on the bottom of the toys. Toys with date code stickers on the bottom are not included in the recall.",04514,https://www.cpsc.gov/Recalls/2004/CPSC-Schylling-Associates-Inc-Announce-Recall-of-Jack-In-the-Box-Type-Toys
"Tri-Star International Recalls Children's Toys Due to Choking Hazard",5/23/2007 ,"The recall involves three different types of toys. The ball rattle is a multi-colored, 3-inch ball with oval openings and a small hexagon opening at each end. The wrist rattle toy is a white plastic wristband toy with six multi-colored balls with small bells inside. The wind-up toy is a 7.5-inch pink giraffe with yellow legs and a green wind-up knob below the tail of the giraffe.",07192,https://www.cpsc.gov/Recalls/2007/Tri-Star-International-Recalls-Childrens-Toys-Due-to-Choking-Hazard
"CPSC, Tuesday Morning Inc. Announce Cobbler Bench Toy Recall",1/16/1996 ,"January 16, 1996 Release # 96-060 WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Tuesday Morning, Inc., Dallas, Texas, is voluntarily recalling about 1,164 wooden cobbler bench toys. The product is a banned hazardous substance under the Federal Hazardous Substances Act because the toy contains balls which measure less than 1.75 inches in diameter. In addition, if the toy is dropped, small pieces of wood may splinter off. The small balls and splinters may present a choking or asphyxiation hazard to children under three years old.The wooden cobbler set, item PO-418, contains a bench, a mallet, and four different color balls. The toys were sold in boxes labeled in part, POLO TOYS cobbler bench***PO- 418***MADE IN CHINA***Ages 1 to 3 years***. Tuesday Morning stores sold the toy nationwide between October 12, 1995 and December 1, 1995 for about $6.This matter came to CPSC's attention after a consumer complaint. To date, neither Tuesday Morning, Inc. nor CPSC is aware of any injuries involving this toy. The company initiated the recall at CPSC's request.Consumers should immediately take these toys away from children and return the toys to the store where purchased for a full refund. Consumers can also send the toys to the firm's headquarters at 14621 Inwood Road, Dallas, Texas 75244 for a full refund plus mailing costs. For more information, consumers should call Tuesday Morning, Inc. at (800) 457-0099",96060,https://www.cpsc.gov/Recalls/1996/CPSC-Tuesday-Morning-Inc-Announce-Cobbler-Bench-Toy-Recall
"Stacking Toy Recalled For Choking Hazard Risk",10/20/1994 ,"October 20, 1994 Release # 95-011 Washington, D.C. -- CPSC, Deb's Toys Inc. of Eatontown, N.J., is voluntarily recalling about 24,400 Rattlin Rocking Rings, model number 63259, because they pose a choking risk for young children.The Rattlin Rocking Rings are plastic stacking toys that have a yellow and blue rocking base with a cone-shaped pole in the center and six graduated doughnut-shaped rings that stack on top of each other. Three of the rings are clear plastic with multi-colored beads inside.CPSC testing found that the beads can come out and may choke a young child. To date, neither Deb's Toys nor CPSC has received reports of accidents or injuries associated with the Rattlin Rocking Rings. Deb's Toys distributed the recalled toy, which sold for $6.99 each, from January 1993 through May 1994 at Toys 'R' Us and Small World stores nationwide. Consumers can identify the toy by the word chicco , which is painted in blue on two sides of the base, and the words MADE IN CHINA embossed underneath the base. The cardboard boxes in which the toys were packaged reads, in part, chicco 'pronounced Kee-Ko' 8 pcs, 6-36m. . . . MADE IN CHINA FOR ARTSANA S.P.A. COMO-ITALY. Consumers should take the toy away from young children immediately and return it to the store where it was purchased for a refund. However, the distributor, Deb's Toys Inc., is out of business and cannot be contacted",95011,https://www.cpsc.gov/Recalls/1995/Stacking-Toy-Recalled-For-Choking-Hazard-Risk
"Clock Tambourine Toys Recalled by STK International",11/5/1997 ,"Clock Tambourine Toys Recalled by STK International NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE November 5, 1997 Release # 98-023 Company Phone Number: (800) 536-7855 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, STK International Announce Recall of Clock Tambourine Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), STK International Inc. of Vernon, Calif., is recalling over 20,400 Clock Tambourine toys. Small pieces could break off the toys, presenting potential choking and aspiration hazards to young children. CPSC and STK International Inc. are not aware of any injuries involving this toy. This recall is being conducted to prevent the possibility of injury. The toy is in the shape of a footed clock face with a handle. The numbers and hands on the clock are multicolored. A blue sticker in the center of the clock displays the sun, moon, clouds, musical notes and stars. The toy contains metal noisemakers, which are visible through slots in the back. The clock face is 5.75 inches in diameter while the toy is 7.75 inches high and 1 inch thick. The toy (model no. TC-186) is made in China. The model number is not on the toy or the packaging. Discount and dollar-type stores nationwide sold the toys from June 1995 through June 1997 for about $1. Consumers should take these toys away from young children immediately and return the toys to STK International Inc., 2602 E. 37th St., Vernon, CA 90058 for a refund and postage reimbursement. For more information about this recall, consumers should call STK International Inc. at (800) 536-7855 between 10 a.m. and 4 p.m. EST Monday through Friday. CPSC learned of the problem through testing samples as part of a joint CPSC/U.S.Customs Service import surveillance program.",98023,https://www.cpsc.gov/Recalls/1998/CPSC-STK-International-Announce-Recall-of-Clock-Tambourine-Toys
"OKK Trading Recalls Toy TVs Due to Violation of Lead Paint Standard",11/4/2008 ,"This recall involves a plastic TV toy. This plastic TV toy has a microphone and is powered by 2 AA size batteries. There is a TV Painting Board sticker label on the front panel and carrying handle of the toy.",09038,https://www.cpsc.gov/Recalls/2009/OKK-Trading-Recalls-Toy-TVs-Due-to-Violation-of-Lead-Paint-Standard
"Giggle Stick Toys Recalled by CBS Toys",10/3/1979 ,"Giggle Stick Toys Recalled by CBS Toys NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE October 3, 1979 Release # 79-056 4 Million Giggle Stick Toys Recalled WASHINGTON, D.C. (Oct. 3) -- CBS Toys, a division of CBS, Inc., of New York City, is voluntarily recalling four million units of a toy which may pose a choking hazard to children, the U.S. Consumer Product Safety Commission today announced. The toy, called the Gabriel Giggle Stick, consists of a hollow, yellow plastic tube which, when shaken, produces noises by means of a metal reed fastened inside an interior plastic cylinder. Young children can remove the red end-caps of the toy, exposing the interior plastic cylinder which houses the small reed inside. Some reeds have fallen out of those Giggle Sticks designed with open-end caps. Since March, 1979, three children have choked on the reeds, according to CBS Toys. No injuries have resulted. The Giggle Sticks have been manufactured since December, 1978, and sold in variety stores nationwide for less than $2. The toys are advertised as suitable for children ages 3 and older. Parents should return the toys to their retailers for a refund or a new Giggle Stick which has been redesigned to eliminate the safety hazard. Consumers also can receive a refund or a new Giggle Stick by mailing their used ones to: Gabriel Industries, Longmeadow Road, P.O. Box 980, Hagerstown, Maryland, 21740. In retail stores, consumers can identify a redesigned Giggle Stick by looking for the words, New, Improved on the red cardboard flag wrapped around the toy.",79056,https://www.cpsc.gov/Recalls/1979/4-Million-Giggle-Stick-Toys-Recalled
"The Land of Nod Recalls Toy Vegetables Due to Laceration Hazard",9/8/2010 ,"This recall involves The Land of Nod toy vegetables sets made of felt wool. The toy set has six vegetables: radish, onion, asparagus, tomato, lettuce and carrot. The asparagus is the only toy vegetable involved in this recall.",10335,https://www.cpsc.gov/Recalls/2010/The-Land-of-Nod-Recalls-Toy-Vegetables-Due-to-Laceration-Hazard
"Knock-A-Ball Wooden Toy Recalled by Laiko International",6/29/1998 ,"Knock-A-Ball Wooden Toy Recalled by Laiko International NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE June 29, 1998 Release # 98-135 Company Phone Number: (888) 280-0280 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, Laiko International Announce Recall of Knock-A-Block Wooden Toy WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Laiko International Inc., of City of Industry, Calif., is recalling 2,400 Knock-A-Block wooden toys. The balls in this toy are less than 1.75 inches in diameter, which poses a choking hazard to young children. CPSC and Laiko International Inc. are not aware of any injuries involving this toy. This recall is being conducted to prevent the possibility of injury. This wooden toy consists of a red, yellow and blue wooden frame with plastic inserts lining the four holes in the top. A wooden hammer and four solid-colored wooden balls are included. The balls are red, green, yellow and blue. They are designed to be hammered through the holes in the top of the toy, and then roll down a ramp to the front of the toy. The cardboard box packaging includes writing in several languages. The English writing states in part, WOODEN TOY KNOCK-A-BALL *** ITEM NO.785 *** MADE IN CHINA *** NON-TOXIC. Toy stores and other small retail stores nationwide sold these wooden toys from August 1997 to June 1998 for about $10. Consumers should take these toys away from young children immediately and return them to the store where purchased for a refund. For more information, consumers can call Laiko International Inc. at (888) 280-0280 between 8 a.m. and 5 p.m. PDT or write to Laiko International Inc., 16710 Johnson Dr., City of Industry, CA 91745. CPSC learned of the problem through testing samples as part of a CPSC surveillance program.",98135,https://www.cpsc.gov/Recalls/1998/CPSC-Laiko-International-Announce-Recall-of-Knock-A-Block-Wooden-Toy
"Reeves International, Inc. Recalls Kouvalias Music Toy Due To Potential Choking Hazards",2/8/1994 ,"February 8, 1994 Release # 94-036 PRODUCT: Approximately 18,400 Kouvalias Musical Toys, model number 960. The wooden toy boxes consist of a wooden platform with a ball connected to the platform and nine more balls in various colors attached by metal coil springs. The boxes were distrubuted from 1989 through mid-July 1993 at various retail stores nationwide. They sold for $44.95 each. PROBLEM: The colored wooden balls and pieces from the music box underneath separated during routine CPSC testing, presenting a potential choking hazard to young children. WHAT TO DO: Consumers should take the toys away from young children immediately and return the toys to the stores where purchased for a full refund. For more information, consumers can call Reeves at: 1-800-444-4775. WASHINGTON, DC -- CPSC, Reeves International, Inc., Pequannock, NJ is voluntarily recalling 18,400 Kouvalias Musical Toy model number 960. During routine CPSC testing, colored wooden balls and gear components from the musical box underneath the toy separated, presenting a potential choking hazard to young children. The musical toy consists of the following parts: a wooden base (5 inches in diameter) that houses the musical box; a wooden platform that measures 3-1/2 inches in diameter and is attached to the base; and a wooden ball (2 inches in diameter) connected to the platform. Nine wooden balls in various colors are attached to the 2- inch diameter wooden ball by 1-1/2 inch metal coil springs. The music box is activated when the platform is turned; a song is played while the toy rotates. The label underneath the base reads: A. Kouvalias S.A. . . .MADE IN GREECE. The Kouvalias Music Toy was imported by Reeves from Greece and distributed nationwide at various retail stores from 1989 through mid-July 1993. The musical toys sold for $44.95 each. Consumers are urged to take the toys away from young children immediately and return the toys to the stores where purchased for a full refund. Consumers who have questions about this recall may contact Reeves toll-free at: 1-800- 444-4775. Neither CPSC nor Reeves is aware of any injuries involving the musical toys. This voluntary recall is being conducted to prevent the possibility of injury. The potentially hazardous toys were identified by CPSC during a routine inspection of the firm. CPSC is the Federal agency responsible for consumer product safety. Some 15,000 different types of consumer products fall within CPSC's jurisdiction",94036,https://www.cpsc.gov/Recalls/1994/Reeves-International-Inc-Recalls-Kouvalias-Music-Toy-Due-To-Potential-Choking-Hazards
"CPSC, AA Importer Inc. Announce Recall of Push and Electronic Toys",12/28/2004 ,"The recall includes three toys: Push Along Frogs, Animal Organs, and Rock & Roll Kids Guitars. The Push Along Frog toy has a 9.5-inch green plastic frog attached to a 15-inch red plastic handle. A sticker on the front of the toy reads Push Along Forg (sic). The electronic Animal Organ comes in four different styles, all about 11 inches long. The style number, written on the back of the toy begins with 666. The electronic guitars are about 14 inches long and have various colored buttons. ROCK & ROLL KIDS is written on stickers on the front. MADE IN CHINA is written on all three toys.",05076,https://www.cpsc.gov/Recalls/2012/CPSC-AA-Importer-Inc-Announce-Recall-of-Push-and-Electronic-Toys
"CPSC, California International Trading Announce Recall of Pacifiers and Two Electronic Toys",4/20/2005 ,"The recall includes one type of pacifier (Light-up Pacifiers) and two types of toys (New Style Pianos and High Toys Choochoo Toy Trains). The Light-up Pacifier is a plastic pacifier, which also acts as a whistle. When a button on the pacifier's handle is pushed, the pacifier lights up with flashing LED lights. The New Style Piano is a battery-operated musical piano, which measures about 6 inches across and comes in orange and blue colors. The High Toys Choochoo Toy Train is a battery-operated train that measures about 8 inches across and 5 inches high. The main body of the train is light blue with red wheels, with tiny foam balls contained inside its pink smokestack.",05160,https://www.cpsc.gov/Recalls/2005/CPSC-California-International-Trading-Announce-Recall-of-Pacifiers-and-Two-Electronic-Toys-
"One Step Ahead Recalls Children's Stacking Toys Due to Choking and Aspiration Hazard",6/3/2010 ,"This recall involves Animal Crackers Giant Stacking Toys. The multi-colored toy has five plush stacking rings that stack and rest on a stationary turtle base. The rings represent different animals including a frog, dog, cat, rabbit, mouse and chick. A fish is on top of the center pole. Each ring makes a different sound: rattle, jingle, crinkle and squeak. One Step Ahead is printed on a white tag attached to the toy. The toy measures about 19 inches high and 10 inches wide when assembled.",10741,https://www.cpsc.gov/Recalls/2010/One-Step-Ahead-Recalls-Childrens-Stacking-Toys-Due-to-Choking-and-Aspiration-Hazard
"CPSC, Playskool Announce Recall to Replace Busy Poppin' Pals Toys",8/16/2000 ,"Originally issued August 16, 2000, Revised October 24, 2002 Release # 00-164 Playskool Recall Hotline: (800) 752-9755 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: (301) 504-7908 Note: phone number change CPSC, Playskool Announce Recall to Replace Busy Poppin' Pals Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Playskool, of Pawtucket, R.I., is voluntarily recalling to replace 420,000 Busy Poppin' Pals toys. Small springs inside the toy can break loose, posing a choking and laceration hazard to young children.Playskool has received 16 reports of the springs breaking. Five children put the broken springs in their mouths, resulting in two children suffering lacerations. The Playskool Busy Poppin' Pals is a 13 inch long white plastic toy with blue, yellow and red buttons, levers and knobs of various shapes that, when activated, make animal characters pop up from under the toy's base. The animals are hidden under blue, yellow or red lids that have the numbers one through five on top. The lid colors match the color of the buttons, levers and knobs that activate them. The pop-up animals are a giraffe, elephant, panda bear, lion and monkey. The toy has a white carry handle and has the Playskool logo on the front. The model number 5415 and MADE IN CHINA are imprinted on the bottom of the toy. Mass merchandise and toy stores, including Toys R Us, sold these toys nationwide for about $10. The toys were sold from January 1996 through August 2000.Consumers should take these toys away from young children immediately and contact Playskool at (800) 752-9755 anytime or visit their web site at http://www.hasbro.com/consumer/safety.html to receive a free, redesigned replacement toy.Busy Poppin Pals, with model number 6205 have different springs, and are not part of the recall. Consumers can also view a video clip about this recall (transcript). This is in streaming video format",00164,https://www.cpsc.gov/Recalls/2000/CPSC-Playskool-Announce-Recall-to-Replace-Busy-Poppin-Pals-Toys
"Wooden Stacking Ring Toys Voluntary Recall by IKEA",5/11/1999 ,"Wooden Stacking Ring Toys Voluntary Recall by IKEA NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE May 11, 1999 Release # 99-110 Company Phone Number: (800) 793-5408 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, IKEA Announce Voluntary Recall of Wooden Stacking Ring Toys to Replace Top Red Ball Pieces WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), IKEA U.S. Inc., of Plymouth Meeting, Pa., is voluntarily replacing the red ball pieces on top of the wooden stacking rings on about 28,000 stacking ring toys. The red ball that tops this toy poses a choking hazard to young children. IKEA has received one report of a 4-year-old boy in Europe choking to death on the top ball portion of the stacking ring toy. No other injuries have been reported. The stacking ring toy, called MULA, is 8.5 inches high. The toy consists of eight brightly colored, wooden rings; a red, top ball; and a pedestal base with a stacking rod. When all the pieces are stacked in order, the toy resembles an inverted cone with the red ball capping it. There is a sticker under the pedestal base with the words, Design and Quality and IKEA of Sweden written on it. The toy is packaged in either a white cardboard box with MULA printed in orange, or sold shrink-wrapped with MULA and Stacking rings printed on the plastic wrapping. IKEA stores nationwide sold these stacking toys from October 1991 through April 1999 for about $6. Consumers should take the red ball that tops this toy away from children immediately. Consumers can mail the ball to IKEA or take it to any IKEA store to receive a redesigned top piece. The red ball can be mailed to IKEA U.S. Inc., 496 West Germantown Pike, Plymouth Meeting, PA 19462. Postage costs will be reimbursed. Consumers also can return the stacking ring toy to any IKEA store for a refund. For more information, consumers should call IKEA at (800) 793-5408 between 9 a.m. and 9 p.m. EDT Monday through Saturday.",99110,https://www.cpsc.gov/Recalls/1999/CPSC-IKEA-Announce-Voluntary-Recall-of-Wooden-Stacking-Ring-Toys-to-Replace-Top-Red-Ball-Pieces
"CPSC, Schylling Associates Inc. Announce Recall of More Jack-In-the-Box Type Toys",12/12/2003 ,"Two designs of the Jack-In-the-Box type toys are included in this recall, both of which play Pop Goes the Weasel when the crank is turned. One is based on Dr. Seuss' Cat in the Hat, and the other is based on Ian Falconer's Olivia the Pig character. The Cat in the Hat box is red, yellow and blue and has a black and white cat dressed in a red and white hat that pops out of the box. CAT IN THE HAT is written on the box lid. The Olivia box is black- and salmon-colored with CIRCUS written around the top sides. The Olivia character dressed as clown pops out. Schylling Associates Inc. previously recalled a Bear Jack-In-the-Box type toy in November with the same hazard.",04050,https://www.cpsc.gov/Recalls/2004/CPSC-Schylling-Associates-Inc-Announce-Recall-of-More-Jack-In-the-Box-Type-Toys
"CPSC, BRIO® Corporation Announce Recall of Caterpillar Pull Toy",10/10/2002 ,"The recalled pull-along caterpillar is bright red and yellow and was sold under the Plan Toys brand name. The wooden caterpillar is about 7 inches long and is pulled by a nylon string. The caterpillar's antenna are two blue protruding pegs that extend about 1/2 inch from the head. The recalled lot numbers are 0645917, 12142323 and 0724423 and are printed on the inside flap of the packaging. A stamp on the top of the tail end of the caterpillar displays the Plan Toys logo and the words Made in Thailand.",03013,https://www.cpsc.gov/Recalls/2003/CPSC-BRIO-Corporation-Announce-Recall-of-Caterpillar-Pull-Toy-
"CPSC, Maxim Enterprise Inc. and Zany Brainy Inc. Announce Recall of Wooden Pull Toy",3/20/2000 ,"March 20, 2000Release # 00-081 Company Phone Number: (888) 266-2946 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, Maxim Enterprise Inc. and Zany Brainy Inc. Announce Recall of Wooden Pull Toy WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Maxim Enterprise Inc., of Middleboro, Mass., and Zany Brainy Inc., of King of Prussia, Pa., are recalling about 4,900 wooden pull toys. The pull toy's wheels can break off and the bead can detach from the pull string, posing small parts choking hazards to young children. The firms have received a report of wheels coming off and a report of the bead detaching from the pull string. The detached bead was found in a child's mouth. No injuries were reported. The toy is called the Wooden Pull Along Bead Coaster, which is written on the packaging. It is a flat, wooden platform with wooden wheels, and is about 10 inches long. On top of the platform are twisting, red and blue plastic wires threaded with multi-colored beads. The red pull string that attaches to the platform has a bead at the end. BEAD COASTER is printed on top of the wood platform of the toy in multicolor block letters. The pull toy was part of a toy box set from the Childhood Classics Wooden Chest and Toy Collection. The other toys in the set included wood puzzles, a pounding bench and a block set",00081,https://www.cpsc.gov/Recalls/2000/CPSC-Maxim-Enterprise-Inc-and-Zany-Brainy-Inc-Announce-Recall-of-Wooden-Pull-Toy
"Klackeroo Toy Recalled by Playskool",9/14/2000 ,"Klackeroo Toy Recalled by Playskool NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued September 14, 2000, Revised October 24, 2002 Release # 00-181 Recall Hotline: (800) 752-9755 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Kim Dulic, (301) 504-7058 Playskool Contact: Audrey Basso, (401) 727-5857 Note: phone number change CPSC, Playskool Announce Recall to Replace Infant Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Playskool, of Pawtucket, R.I., is voluntarily recalling to replace about 550,000 Klackeroo toys. The toy's brightly colored end knobs can detach and allow small, geometric-shaped pieces to come loose, posing a choking hazard to infants and young children. Playskool has received 10 reports of the toy's knobs detaching to release small parts, including four reports of a small part from the toy being found in the mouths of infants and young children. There have been no reported injuries. Playskool's Klackeroo is a brightly colored toy with orange plastic rods and small geometric shapes that move through a center purple ball. Solid-colored knobs with animal faces or the sun and moon imprinted on them cap both ends of each orange rod. When shaken, the rods move through the ball and the geometric shapes slide along each rod, making a clacking sound. The knobs are green, yellow, blue and red. The Playskool logo is imprinted on one end knob and MADE IN CHINA is imprinted on the center ball. Toy and mass merchandise stores, including Toys R Us and Wal- Mart, sold these toys from October 1997 through September 2000 for about $8. Parents and caregivers should take the toy away from infants and young children immediately, and contact Playskool anytime at (800) 752-9755 to receive a free, redesigned replacement toy. The recalled products will be replaced by a redesigned Klackeroo toy (model number 5542) which will feature a red center ball with no sliding geometric shapes.",00181,https://www.cpsc.gov/Recalls/2000/CPSC-Playskool-Announce-Recall-to-Replace-Infant-Toys
"Children's Outdoor Water Toy Corrected by Wham-O",3/10/1980 ,"Children's Outdoor Water Toy Corrected by Wham-O NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE March 10, 1980 Release # 80-007 Wham-O To Correct Potential Hazard In Children's Outdoor Water Toy WASHINGTON, D.C. (March 10)-- A program to correct more than 100,000 outdoor Fun Fountain water toys which may cause serious injuries to children is being conducted by the Wham-O Mfg. Co. of San Gabriel, California. The firm, in cooperation with the U.S. Consumer Product Safety Commission, voluntarily will supply free corrective water flow control valve inserts for its Fun Fountain toys produced from 1977 through November, 1979. The toy consists of a clown hat and head which attaches onto the end of a garden hose so that the hat rises in the air when water flows through the clown's head. Children may be inclined to peer into the water outlet and the stream of water could cause serious eye injuries, especially in communities with high water pressure. CPSC so far has been informed of two consumer complaints since June, 1979, involving a six-year-old boy and a seven-year- old boy who suffered eye injuries when struck at close distance by water emitted from the Fun Fountain toys. The Wham-O Fun Fountain water toys were sold nationwide in toy stores and variety stores for approximately $10.00 each. The model number of the toy, #237, is imprinted on the toy's package. According to the company, the potential hazard has been corrected on all Fun Fountain toys manufactured since December, 1979 when the toys began to be produced with a water flow control valve to decrease and control the water flow. Such new editions are readily identifiable since they are equipped with a blue hose connector (the older design has a red connector) at the base of the clown head. The words Important Notice and Safety Check List also are imprinted on the new toy cartons. If the hose connector is red but contains a blue insert which is clearly visible, then it also has been corrected and is equipped with a water flow control valve. To correct the potential hazard in Fun Fountain toys manufactured before December, 1979, parents are urged to go to the place of purchase to receive a free water flow control valve insert, or they may contact Wham-O directly to receive a free valve insert (Customer Service Dept. 7, 835 East El Monte Street, San Gabriel, California, 91778). Consumers also may telephone Wham-O toll-free at 800/423-4174 (in California, call collect at 213/287-9681). The water flow control valve snaps easily into the hose connector and once installed will remain firmly within the connector, according to the company.",80007,https://www.cpsc.gov/Recalls/1980/Wham-O-To-Correct-Potential-Hazard-In-Childrens-Outdoor-Water-Toy
"U.S. Toy Company, Inc. Recalls Four Toys Because Of A Potential Choking Hazard",3/27/1991 ,"March 27, 1991 Release # 91-049 U.S. Toy Company, Inc. Recalls Four Toys Because Of A Potential Choking Hazard WASHINGTON, DC -- U.S. Toy Co., Inc. of Grandview, MO is voluntarily recalling four toys because small components separate from the toys and are a choking or aspiration hazard to young children. The recall of the following four toys is being conducted in cooperation with the U.S. Consumer Product Safety Commission (CPSC). These toys were originally sold throughout the country from 1988 through July 1990. Hippo Counter (#RO-1005) Imported from Taiwan, consists of a two-tone plastic body with pasted-on eyes. There are four metal wires mounted on the Hippo's back for counting beads. The wires may detach from the body of the hippo releasing the counting beads. The package reads in part: Ages 2 and up, Toddlers learn to count from 1 to 5 by 'flipping' the easy-moving counters... Approximately 1,000 toys sold for $4.95 each and were made in Taiwan. 9 Angel Doll (#MU69) Imported from China, consists of a soft body with a plastic head and painted on face. The hair is made of straight fine yarn with a bow at the top of the head. These dolls are dressed in a one-piece outfit which has elastic at the neck, wrists, and legs. Their hands hold a bouquet of flowers. These flowers have a plastic center which could break during use and present an aspiration hazard to children. Approximately 600 dolls sold for $2.50 and were made in China. Pull-Along Activity Loco (#HKT-7277) Imported from Hong Kong, consists of an eight and one-quarter-inch tall train engine on four red plastic wheels. The toy has nine different fun activities which include a spinning telephone dial with ringing bell, a squeaking whistle, windows with sliding mirrored shades, a funny clock face with movable hands, a colorful wheel that turns around, a spinning ball headlight, colorful counting rings, a see-through smokestack with tumbling beads and a click-click sound when moved along. This toy may break during during use releasing the tumbling beads from the see-through smokestack and exposing sharp points under the front wheels. An estimated 900 Pull-Along Activity Locos sold for approximately $14.95 each and were made in China. The package states in part Age over 18 months. Tell By Touch (#CPX-48) Imported from Thailand, consists of a wooden board with 10 circular openings for placement of 10 matching cylinders. Each opening and each cylinder has a textured top surface ranging from soft velvet to rough sandpaper. The cylinder pieces are small enough to present a serious choking hazard to young children. Approximately 800 toys were sold for an estimated $14.95 each and were made in Thailand. This recall affects only those Tell by Touch toys that have cylinders with red painted sides purchased before January 1, 1990. Consumers are urged to take these toys away from young children and return them to the store where purchased for a exchange or gift certificate. Consumers with additional concerns or questions about this recall may write to U.S. Toy Co., Inc., 1227 East 119th Street, Grandview, MO 64030. These hazardous toys were identified as a result of a consumer complaint in addition to a joint surveillance program conducted between the CPSC and the U.S. Customs Service at the Port of Kansas City. Neither the CPSC nor the U.S. Toy Company is aware of any injuries caused by these four toys. The CPSC's mission is to protect the public from unreasonable risks of injury and death associated with consumer products. The CPSC is the Federal agency responsible for consumer product safety. Some 15,000 different kinds of consumer products fall within the Commission's jurisdiction and each year these products are involved in an estimated 30 million injuries and 22,000 deaths",91049,https://www.cpsc.gov/Recalls/1991/US-Toy-Company-Inc-Recalls-Four-Toys-Because-Of-A-Potential-Choking-Hazard
